TID	Name	Type	Race	Gender	Class	LVL	STR	DEX	INT	CON	CHA	Wis	AC	MAX_HP	MAX_SP	MAX_MP	CUR_HP	CUR_SP	CUR_MP	Movement Walk	Movement Run	AR	DR	MAR	MDR	Min_Damage	Max_Damage	ATK Speed	Range	Fire Res.	Water Res.	Air Res.	Earth Res.	Magic Res.	Poison Res.	Ice Res.	Thunder Res.	Magic History	Murder Point	Exp	Fire Min_Damage	Fire Max_Damage	Water Min_Damage	Water Max_Damage	Earth Min_Damage	Earth Max_Damage	Air Min_Damage	Air Max_Damage	Magic Min_Damage	Magic Max_Damage	Poison Min_Damage	Poison Max_Damage	Ice Min_Damage	Ice Max_Damage	Thunder Min_Damage	Thunder Max_Damage	Physical_Resistance	Skill_Block	Sight	Badge1_Rank Point	Badge2_Rank Point	Badge3_Rank Point	Rank	Item Point	Guild	Guild Rank	Guild Score	Lost Exp	Weapon	Item1	Item2	Item3	Item4	Armor_Head	Armor_Body	Armor_Arm	Armor_Hand	Armor_Leg	Armor_Foot	Armor_Mantle	Money	Geld_Min	Geld_Max	Drop_TID	slow_percent	slow_time	fast_percent	fast_time	Product_Skin_ItemName	Product_Meat	Product_Meat_ItemName	Product_Garbage	Product_Garbage_ItmeName	attribute_type	name_color	DropRank	DropMeditation	Spirit Type	LandAttachType	Tamable	Run Correct	Attack Correct	SiegeWarCharType	RangeType	StaminaPoint	PetType	StartStamina	Heroic_Min_Damage	Heroic_Max_Damage	Heroic_Defense_Point
96 	휴먼전사남성	196609 	1 	1 	1 	1 	17 	12 	6 	15 	0 	6 	0 	120 	65 	32 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																			11 	190;5	193;3	3857;5		0 	0 	0 	0 	0 	0 	0 	0 				9 	5 	9 	3 											0 		1 	1 								
1 	휴먼궁수남성	196609 	1 	1 	2 	1 	11 	17 	9 	10 	0 	9 	0 	80 	92 	48 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																			1 	190;5	193;3	194;500	3857;5	0 	0 	0 	0 	0 	0 	0 	0 				9 	5 	9 	3 											0 		1 	1 								
6 	휴먼마법사여성	196609 	1 	2 	4 	1 	8 	7 	16 	10 	0 	15 	0 	80 	38 	81 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																			12 	190;5	193;3	3857;5		0 	0 	0 	0 	0 	0 	0 	0 				9 	5 	9 	3 											0 		1 	1 								
4 	오크전사남성	196609 	2 	1 	1 	1 	18 	11 	7 	14 	0 	6 	0 	112 	59 	32 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																			11 	190;5	193;3	3857;5		0 	0 	0 	0 	0 	0 	0 	0 				9 	5 	9 	3 											0 		1 	1 								
8 	오크궁수여성	196609 	2 	2 	2 	1 	12 	16 	9 	11 	0 	8 	0 	88 	86 	43 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																			1 	190;5	193;3	194;500	3857;5	0 	0 	0 	0 	0 	0 	0 	0 				9 	5 	9 	3 											0 		1 	1 								
3 	오크마법사남성	196609 	2 	1 	4 	1 	8 	8 	17 	9 	0 	14 	0 	72 	43 	75 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																			12 	190;5	193;3	3857;5		0 	0 	0 	0 	0 	0 	0 	0 				9 	5 	9 	3 											0 		1 	1 								
377 	문엘프 여자 전사	196609 	3 	2 	1 	1 	15 	13 	7 	13 	0 	8 	0 	104 	70 	43 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																			4920 	5558 	190;5	193;3	3857;5	0 	0 	0 	0 	0 	0 	0 	0 				9 	5 	9 	3 											0 		1 	1 								
460 	문엘프 여자 궁수	196609 	3 	2 	2 	1 	13 	18 	7 	10 	0 	8 	0 	80 	97 	43 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																			2727 	190;5	193;3	3857;5		0 	0 	0 	0 	0 	0 	0 	0 				9 	5 	9 	3 											0 		1 	1 								
9 	문엘프 여자 법사	196609 	3 	2 	4 	1 	7 	8 	17 	8 	0 	16 	0 	64 	43 	86 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																			2711 	190;5	193;3	3857;5		0 	0 	0 	0 	0 	0 	0 	0 				9 	5 	9 	3 											0 		1 	1 								
1724 	시온	196609 	4 	2 	3 	1 	12 	16 	9 	10 	0 	9 	0 	80 	86 	48 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																			7830 	7968 	190;5	193;3	3857;5	0 	0 	0 	0 	0 	0 	0 	0 				9 	5 	9 	3 											0 		1 	1 								
1722 	슬레이어	196609 	4 	1 	1 	1 	17 	11 	10 	11 	0 	9 	0 	88 	59 	48 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																								0 	0 	0 	0 	0 	0 	0 	0 				9 	5 	9 	3 											0 		1 	1 								
1723 	오비터	196609 	4 	2 	2 	1 	13 	16 	9 	10 	0 	9 	0 	80 	86 	48 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																								0 	0 	0 	0 	0 	0 	0 	0 				9 	5 	9 	3 											0 		1 	1 								
1732 	서머너	196609 	4 	1 	4 	1 	7 	8 	16 	8 	0 	17 	0 	64 	43 	92 				2000 	6000 	0 	0 	0 	0 	0 	0 	60 	100 	0 	0 	0 	0 	0 																																								0 	0 	0 	0 	0 	0 	0 	0 				9 	5 	9 	3 											1 		1 	1 								
100 	싸움닭	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				375 	375 	21 	12 	30 	7 	5 	8 	50 	50 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											0 		1 	1 								
101 	수탉	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				375 	375 	21 	12 	30 	7 	5 	8 	50 	50 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											0 		1 	1 								
102 	암탉	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				375 	375 	21 	12 	30 	7 	5 	8 	50 	50 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											0 		1 	1 								
103 	병아리	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				125 	125 	21 	12 	30 	7 	5 	8 	50 	20 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											0 		1 	1 								
104 	소	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1700 	1700 	21 	12 	30 	7 	5 	8 	50 	300 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
105 	말	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1125 	1125 	21 	12 	30 	7 	5 	8 	50 	300 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
106 	새끼양	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				450 	450 	21 	12 	30 	7 	5 	8 	50 	230 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
107 	개	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				525 	525 	21 	12 	30 	7 	5 	8 	50 	200 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
108 	어미양	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				900 	900 	21 	12 	30 	7 	5 	8 	50 	200 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
109 	고양이	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				889 	889 	21 	12 	30 	7 	5 	8 	50 	150 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
110 	숫염소	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1500 	1500 	21 	12 	30 	7 	5 	8 	50 	250 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
111 	아기염소	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				955 	955 	21 	12 	30 	7 	5 	8 	50 	230 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
112 	어미돼지	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1000 	1000 	21 	12 	30 	7 	5 	8 	50 	250 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
113 	아기돼지	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1500 	1500 	21 	12 	30 	7 	5 	8 	50 	230 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
114 	어미코뿔소	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				900 	900 	21 	12 	30 	7 	5 	8 	50 	230 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
115 	어린코뿔소	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				375 	375 	21 	12 	30 	7 	5 	8 	50 	280 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
465 	게A	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				10 	10 	21 	12 	30 	7 	5 	8 	50 	10 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											0 		1 	1 								
466 	게B	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				10 	10 	21 	12 	30 	7 	5 	8 	50 	10 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											0 		1 	1 								
467 	갈매기	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				100 	100 	21 	12 	30 	7 	5 	8 	50 	10 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											0 		1 	1 								
666 	공작	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				220 	220 	21 	12 	30 	7 	5 	8 	50 	50 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											0 		1 	1 								
667 	어린사자	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				570 	570 	21 	12 	30 	7 	5 	8 	50 	50 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
668 	흑표범	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1120 	1120 	21 	12 	30 	7 	5 	8 	50 	100 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
669 	말	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1170 	1170 	21 	12 	30 	7 	5 	8 	50 	300 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
670 	망아지	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				670 	670 	21 	12 	30 	7 	5 	8 	50 	200 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
675 	숫산양	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1000 	1000 	21 	12 	30 	7 	5 	8 	50 	150 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
676 	어린산양	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				480 	480 	21 	12 	30 	7 	5 	8 	50 	150 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
677 	당나귀	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1000 	1000 	21 	12 	30 	7 	5 	8 	50 	150 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
681 	여행용당나귀	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1000 	1000 	21 	12 	30 	7 	5 	8 	50 	150 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
683 	버팔로	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1000 	1000 	21 	12 	30 	7 	5 	8 	50 	200 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
686 	여행용버팔로	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1000 	1000 	21 	12 	30 	7 	5 	8 	50 	200 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
687 	산양	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1800 	1800 	21 	12 	30 	7 	5 	8 	50 	150 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
689 	여행용산양	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1800 	1800 	21 	12 	30 	7 	5 	8 	50 	150 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1791 	새끼드래곤	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				570 	570 	21 	12 	30 	7 	5 	8 	50 	150 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1792 	야크	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				1300 	1300 	21 	12 	30 	7 	5 	8 	50 	150 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1793 	팬더	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				570 	570 	21 	12 	30 	7 	5 	8 	50 	150 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											0 		1 	1 								
1794 	호랑이	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				570 	570 	21 	12 	30 	7 	5 	8 	50 	150 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1351 	세라자란	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
1355 	멀쿤	8 				1 	16 	7 	8 	13 		7 	5 	200 	200 	200 				5000 	5000 	21 	12 	30 	7 	5 	8 	0 	0 	0 	0 	0 	0 	0 																																																			9 	5 	9 	3 											1 		1 	1 								
