Character_Lv	Gacha_ItemTID	Gacha_Item_Number	Gacha_Cost	Rank1	Rank2	Rank3	Rank4
1	7433	1		7000	2900	0	100
2	7433	1		7000	2900	0	100
3	7433	1		7000	2900	0	100
4	7433	1		7000	2900	0	100
5	7433	1		7000	2900	0	100
6	7433	1		7000	2900	0	100
7	7433	1		7000	2900	0	100
8	7433	1		7000	2900	0	100
9	7433	1		7000	2000	900	100
10	7433	1		7000	2000	900	100
11	7433	1		7000	2000	900	100
12	7433	1		7000	2000	900	100
13	7433	1		7000	2000	900	100
14	7433	1		7000	2000	900	100
15	7433	1		7000	2000	900	100
16	7433	1		7000	2000	900	100
17	7433	1		7000	2000	900	100
18	7433	1		7000	2000	900	100
19	7433	1		7000	2000	900	100
20	7433	1		7000	2000	900	100
21	7433	1		7000	2000	900	100
22	7433	1		7000	2000	900	100
23	7433	1		7000	2000	900	100
24	7433	1		7000	2000	900	100
25	7433	1		7000	2000	900	100
26	7433	1		7000	2000	900	100
27	7433	1		7000	2000	900	100
28	7433	1		7000	2000	900	100
29	7433	1		7000	2000	900	100
30	7433	1		7000	2000	900	100
31	7433	1		7000	2000	900	100
32	7433	1		7000	2000	900	100
33	7433	1		7000	2000	900	100
34	7433	1		7000	2000	900	100
35	7433	1		7000	2000	900	100
36	7433	1		7000	2000	900	100
37	7433	1		7000	2000	900	100
38	7433	1		7000	2000	900	100
39	7433	1		7000	2000	900	100
40	7433	1		7000	2000	900	100
41	7433	1		7000	2000	900	100
42	7433	1		7000	2000	900	100
43	7433	1		7000	2000	900	100
44	7433	1		7000	2000	900	100
45	7433	1		7000	2000	900	100
46	7433	1		7000	2000	900	100
47	7433	1		7000	2000	900	100
48	7433	1		7000	2000	900	100
49	7433	1		7000	2000	900	100
50	7433	1		7000	2000	900	100
51	7433	1		7000	2000	900	100
52	7433	1		7000	2000	900	100
53	7433	1		7000	2000	900	100
54	7433	1		7000	2000	900	100
55	7433	1		7000	2000	900	100
56	7433	1		7000	2000	900	100
57	7433	1		7000	2000	900	100
58	7433	1		7000	2000	900	100
59	7433	1		7000	2000	900	100
60	7433	1		7000	2000	900	100
61	7433	1		7000	2000	900	100
62	7433	1		7000	2000	900	100
63	7433	1		7000	2000	900	100
64	7433	1		7000	2000	900	100
65	7433	1		7000	2000	900	100
66	7433	1		7000	2000	900	100
67	7433	1		7000	2000	900	100
68	7433	1		7000	2000	900	100
69	7433	1		7000	2000	900	100
70	7433	1		7000	2000	900	100
71	7433	1		7000	2000	900	100
72	7433	1		7000	2000	900	100
73	7433	1		7000	2000	900	100
74	7433	1		7000	2000	900	100
75	7433	1		7000	2000	900	100
76	7433	1		7000	2000	900	100
77	7433	1		7000	2000	900	100
78	7433	1		7000	2000	900	100
79	7433	1		7000	2000	900	100
80	7433	1		7000	2000	900	100
81	7433	1		7000	2000	900	100
82	7433	1		7000	2000	900	100
83	7433	1		7000	2000	900	100
84	7433	1		7000	2000	900	100
85	7433	1		0	7800	2100	100
86	7433	1		0	7800	2100	100
87	7433	1		0	7800	2100	100
88	7433	1		0	7800	2100	100
89	7433	1		0	0	9900	100
90	7433	1		0	0	9900	100
91	7433	1		0	0	9900	100
92	7433	1		0	0	9900	100
93	7433	1		0	0	9900	100
94	7433	1		0	0	9900	100
95	7433	1		0	0	9900	100
96	7433	1		0	0	9900	100
97	7433	1		0	0	9900	100
98	7433	1		0	0	9900	100
99	7433	1		0	0	9900	100
