GroupID	DropRate	LevelBonus10	LevelBonus20	LevelBonus30	LevelBonus40	LevelBonus50	LevelBonus60	LevelBonus70	LevelBonus80	LevelBonus90	LevelBonus100
1	3000	3000	1000	-500	-1000	-1000	-2000	-2000	-2000	-2000	-2000
2	700	300	200	100	0	0	0	0	0	0	0
3	1000	-300	-400	-400	-300	-200	-100	0	0	0	0
4	2000	0	-1000	-1300	-1600	-1600	-1600	-1600	-1600	-1600	-1600
5	300	-300	0	0	0	0	0	0	0	0	0
6	70000	25000	15000	0	-10000	-20000	-30000	-40000	-50000	-50000	-50000
7	1500	1500	500	0	-500	-500	-500	-500	-500	-500	-500
8	4000	0	-1500	-2000	-2500	-2500	-2500	-2500	-2500	-2500	-2500
9	200	0	0	0	0	0	0	0	0	0	0
10	110	0	0	0	0	0	0	0	0	0	0
11	600	0	0	0	0	0	0	0	0	0	0
12	400	0	0	0	0	0	0	0	0	0	0
13	500	0	0	0	0	0	0	0	0	0	0
14	300	0	0	0	0	0	0	0	0	0	0
15	2500	2000	500	-500	-1000	-1000	-2000	-2000	-2000	-2000	-2000
16	2000	0	0	0	0	0	0	0	0	0	0
17	2500	0	0	0	0	0	0	0	0	0	0
18	300	300	200	100	0	0	0	0	0	0	0
19	90000	0	0	0	0	0	0	0	0	0	0
20	70	30	20	10	-6	-8	-10	-12	-14	-16	-18
21	80	20	10	0	-6	-8	-10	-12	-14	-16	-18
22	1	0	0	0	0	0	0	0	0	0	0
23	300	-300	0	0	0	0	0	0	0	0	0
24	50	0	0	0	0	0	0	0	0	0	0
25	90000	0	0	0	0	0	0	0	0	0	0
26	500	0	0	0	0	0	0	0	0	0	0
27	2000	0	0	0	0	0	0	0	0	0	0
28	100	0	0	0	0	0	0	0	0	0	0
