96																			
LV	STR	Dex	CON	WIS	INT	CHA	MAX HP	MAX MP	MAX SP	MAX AC	MAX AR	MAX DR	FIRE	WATER	EARTH	AIR	MAGIC	MIN DMG	MAX DMG
1	17	12	15	6	6	0	120	32	65	3	0	0	0	0	0	0	0	0	0
2	18	13	16	6	7	0	128	32	70	3	0	0	0	0	0	0	0	0	0
3	20	14	17	7	7	0	136	38	75	3	0	0	0	0	0	0	0	0	0
4	21	15	18	7	8	0	144	38	81	3	0	0	0	0	0	0	0	0	0
5	22	16	19	7	8	0	152	38	86	3	0	0	0	0	0	0	0	0	0
6	24	18	20	8	9	0	160	43	97	3	0	0	0	0	0	0	0	0	0
7	26	19	21	8	10	0	168	43	102	3	0	0	0	0	0	0	0	0	0
8	28	21	23	9	10	0	184	48	113	3	0	0	0	0	0	0	0	0	0
9	30	22	24	9	11	0	192	48	118	3	0	0	0	0	0	0	0	0	0
10	32	24	26	10	12	0	208	54	129	3	0	0	0	0	0	0	0	0	0
11	34	26	28	10	13	0	224	54	140	3	0	0	0	0	0	0	0	0	0
12	36	28	29	11	14	0	232	59	151	3	0	0	0	0	0	0	0	0	0
13	39	30	31	11	15	0	248	59	162	3	0	0	0	0	0	0	0	0	0
14	41	32	33	12	16	0	264	65	172	3	0	0	0	0	0	0	0	0	0
15	44	34	35	12	17	0	280	65	183	3	0	0	0	0	0	0	0	0	0
16	46	36	37	13	18	0	296	70	194	4	0	0	0	0	0	0	0	0	0
17	49	38	39	14	20	0	312	75	205	4	0	0	0	0	0	0	0	0	0
18	52	41	41	14	21	0	328	75	221	4	0	0	0	0	0	0	0	0	0
19	55	43	43	15	22	0	344	81	232	4	0	0	0	0	0	0	0	0	0
20	58	46	45	16	23	0	360	86	248	4	0	0	0	0	0	0	0	0	0
21	61	48	47	17	24	0	376	92	258	4	0	0	0	0	0	0	0	0	0
22	64	51	50	17	26	0	400	92	275	4	0	0	0	0	0	0	0	0	0
23	67	53	52	18	27	0	416	97	285	4	0	0	0	0	0	0	0	0	0
24	70	56	55	19	28	0	440	102	302	4	0	0	0	0	0	0	0	0	0
25	73	59	57	20	30	0	456	108	318	4	0	0	0	0	0	0	0	0	0
26	77	61	59	20	31	0	472	108	328	4	0	0	0	0	0	0	0	0	0
27	80	64	62	21	33	0	496	113	345	4	0	0	0	0	0	0	0	0	0
28	84	67	65	22	34	0	520	118	361	4	0	0	0	0	0	0	0	0	0
29	87	70	67	23	36	0	536	124	377	4	0	0	0	0	0	0	0	0	0
30	91	73	70	24	37	0	560	129	393	4	0	0	0	0	0	0	0	0	0
31	94	76	73	25	39	0	584	135	409	4	0	0	0	0	0	0	0	0	0
32	98	79	75	26	40	0	600	140	425	4	0	0	0	0	0	0	0	0	0
33	102	82	78	26	42	0	624	140	442	4	0	0	0	0	0	0	0	0	0
34	106	85	81	27	43	0	648	145	458	4	0	0	0	0	0	0	0	0	0
35	110	88	84	28	45	0	672	151	474	4	0	0	0	0	0	0	0	0	0
36	114	92	87	29	47	0	696	156	495	4	0	0	0	0	0	0	0	0	0
37	117	95	90	30	48	0	720	162	512	4	0	0	0	0	0	0	0	0	0
38	121	98	93	31	50	0	744	167	528	4	0	0	0	0	0	0	0	0	0
39	126	101	96	32	52	0	768	172	544	4	0	0	0	0	0	0	0	0	0
40	130	105	99	33	54	0	792	178	565	5	0	0	0	0	0	0	0	0	0
41	134	108	102	34	55	0	816	183	582	5	0	0	0	0	0	0	0	0	0
42	138	112	105	35	57	0	840	188	603	5	0	0	0	0	0	0	0	0	0
43	142	115	108	36	59	0	864	194	619	5	0	0	0	0	0	0	0	0	0
44	147	119	111	37	61	0	888	199	641	5	0	0	0	0	0	0	0	0	0
45	151	122	115	38	63	0	920	205	657	5	0	0	0	0	0	0	0	0	0
46	155	126	118	39	64	0	944	210	678	5	0	0	0	0	0	0	0	0	0
47	160	130	121	40	66	0	968	215	700	5	0	0	0	0	0	0	0	0	0
48	164	133	125	42	68	0	1000	226	716	5	0	0	0	0	0	0	0	0	0
49	169	137	128	43	70	0	1024	232	738	5	0	0	0	0	0	0	0	0	0
50	173	141	131	44	72	0	1048	237	759	5	0	0	0	0	0	0	0	0	0
51	178	145	135	45	74	0	1080	242	781	5	0	0	0	0	0	0	0	0	0
52	183	149	138	46	76	0	1104	248	802	5	0	0	0	0	0	0	0	0	0
53	187	152	142	47	78	0	1136	253	818	5	0	0	0	0	0	0	0	0	0
54	192	156	145	48	80	0	1160	258	840	5	0	0	0	0	0	0	0	0	0
55	197	160	149	49	82	0	1192	264	862	5	0	0	0	0	0	0	0	0	0
56	202	164	152	51	84	0	1216	275	883	5	0	0	0	0	0	0	0	0	0
57	207	168	156	52	86	0	1248	280	905	5	0	0	0	0	0	0	0	0	0
58	212	172	160	53	88	0	1280	285	926	5	0	0	0	0	0	0	0	0	0
59	217	176	163	54	90	0	1304	291	948	6	0	0	0	0	0	0	0	0	0
60	221	181	167	55	92	0	1336	296	975	6	0	0	0	0	0	0	0	0	0
61	227	185	171	57	94	0	1368	307	996	6	0	0	0	0	0	0	0	0	0
62	232	189	175	58	97	0	1400	312	1018	6	0	0	0	0	0	0	0	0	0
63	237	193	178	59	99	0	1424	318	1039	6	0	0	0	0	0	0	0	0	0
64	242	197	182	60	101	0	1456	323	1061	6	0	0	0	0	0	0	0	0	0
65	247	202	186	61	103	0	1488	328	1088	6	0	0	0	0	0	0	0	0	0
66	252	206	190	63	105	0	1520	339	1109	6	0	0	0	0	0	0	0	0	0
67	258	210	194	64	108	0	1552	345	1131	6	0	0	0	0	0	0	0	0	0
68	263	215	198	65	110	0	1584	350	1158	6	0	0	0	0	0	0	0	0	0
69	268	219	202	67	112	0	1616	361	1179	6	0	0	0	0	0	0	0	0	0
70	273	223	206	68	114	0	1648	366	1201	6	0	0	0	0	0	0	0	0	0
71	279	228	210	69	117	0	1680	372	1228	6	0	0	0	0	0	0	0	0	0
72	284	232	214	70	119	0	1712	377	1249	6	0	0	0	0	0	0	0	0	0
73	290	237	218	72	121	0	1744	388	1276	6	0	0	0	0	0	0	0	0	0
74	295	241	222	73	123	0	1776	393	1298	6	0	0	0	0	0	0	0	0	0
75	301	246	226	74	126	0	1808	398	1325	7	0	0	0	0	0	0	0	0	0
76	306	251	230	76	128	0	1840	409	1352	7	0	0	0	0	0	0	0	0	0
77	312	255	234	77	131	0	1872	415	1373	7	0	0	0	0	0	0	0	0	0
78	318	260	239	79	133	0	1912	425	1400	7	0	0	0	0	0	0	0	0	0
79	323	265	243	80	135	0	1944	431	1427	7	0	0	0	0	0	0	0	0	0
80	329	269	247	81	138	0	1976	436	1448	7	0	0	0	0	0	0	0	0	0
81	335	274	251	83	140	0	2008	447	1475	7	0	0	0	0	0	0	0	0	0
82	341	279	256	84	143	0	2048	452	1502	7	0	0	0	0	0	0	0	0	0
83	346	284	260	85	145	0	2080	458	1529	7	0	0	0	0	0	0	0	0	0
84	352	288	264	87	148	0	2112	468	1551	7	0	0	0	0	0	0	0	0	0
85	358	293	269	88	150	0	2152	474	1578	7	0	0	0	0	0	0	0	0	0
86	364	298	273	90	153	0	2184	485	1605	7	0	0	0	0	0	0	0	0	0
87	370	303	278	91	155	0	2224	490	1632	7	0	0	0	0	0	0	0	0	0
88	376	308	282	93	158	0	2256	501	1658	7	0	0	0	0	0	0	0	0	0
89	382	313	287	94	160	0	2296	506	1685	7	0	0	0	0	0	0	0	0	0
90	388	318	291	96	163	0	2328	517	1712	8	0	0	0	0	0	0	0	0	0
91	394	323	296	97	165	0	2368	522	1739	8	0	0	0	0	0	0	0	0	0
92	400	328	300	98	168	0	2400	528	1766	8	0	0	0	0	0	0	0	0	0
93	406	333	305	100	170	0	2440	538	1793	8	0	0	0	0	0	0	0	0	0
94	413	338	309	101	173	0	2472	544	1820	8	0	0	0	0	0	0	0	0	0
95	419	343	314	103	176	0	2512	555	1847	8	0	0	0	0	0	0	0	0	0
96	425	348	318	104	178	0	2544	560	1874	8	0	0	0	0	0	0	0	0	0
97	431	353	323	106	181	0	2584	571	1901	8	0	0	0	0	0	0	0	0	0
98	438	359	328	107	184	0	2624	576	1933	8	0	0	0	0	0	0	0	0	0
99	444	364	333	109	186	0	2664	587	1960	8	0	0	0	0	0	0	0	0	0
100	450	369	337	111	189	0	2696	598	1987	8	0	0	0	0	0	0	0	0	0
