기본강화단계	무기능력치 상승	방어구능력치 상승	Rank	Spirit1	Spirit2	Spirit3	Spirit4	Spirit5																			
1 	2 	2 		O																							
2 	2 	2 		O																							
3 	3 	2 		O																							
4 	3 	3 		O																							
5 	4 	3 		O																							
6 	4 	3 		O																							
7 	5 	3 	L	O																							
8 	5 	4 	F	O																							
9 	6 	4 	E	O	O																						
10 	6 	4 	D	O	O	O																					
11 	7 	4 	C	O	O	O	O																				
12 	7 	4 	B	O	O	O	O	O																			
13 	8 	5 	A	O	O	O	O	O																			
14 	9 	5 	AA	O	O	O	O	O																			
15 	10 	5 	AAA	O	O	O	O	O																			
16 	11 	5 	S	O	O	O	O	O																			
																											
성공	1 	2 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 											
1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
6 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
7 	100 	100 	76 	56 	32 	11 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
8 	100 	100 	79 	63 	42 	24 	14 	2 	0 	0 	0 	0 	0 	0 	0 	0 											
9 	100 	100 	82 	67 	49 	33 	25 	14 	2 	0 	0 	0 	0 	0 	0 	0 											
10 	100 	100 	84 	71 	55 	41 	33 	23 	13 	2 	0 	0 	0 	0 	0 	0 											
11 	100 	100 	85 	74 	59 	47 	40 	31 	21 	12 	2 	0 	0 	0 	0 	0 											
12 	100 	100 	87 	76 	63 	52 	45 	37 	29 	20 	11 	2 	0 	0 	0 	0 											
13 	100 	100 	88 	78 	66 	56 	50 	43 	35 	26 	18 	10 	2 	0 	0 	0 											
14 	100 	100 	89 	80 	69 	59 	54 	47 	40 	32 	25 	17 	10 	2 	0 	0 											
15 	100 	100 	90 	81 	71 	62 	57 	51 	44 	37 	30 	23 	16 	9 	2 	0 											
16 	100 	100 	90 	83 	73 	64 	60 	54 	48 	41 	35 	28 	22 	15 	9 	2 											
																											
그대로남음	1 	2 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 											
1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
6 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
7 	100 	100 	87 	73 	60 	47 	33 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
8 	100 	100 	89 	77 	66 	54 	43 	31 	0 	0 	0 	0 	0 	0 	0 	0 											
9 	100 	100 	90 	80 	70 	60 	50 	40 	30 	0 	0 	0 	0 	0 	0 	0 											
10 	100 	100 	91 	82 	73 	64 	56 	47 	38 	29 	0 	0 	0 	0 	0 	0 											
11 	100 	100 	92 	84 	76 	68 	60 	52 	44 	36 	28 	0 	0 	0 	0 	0 											
12 	100 	100 	93 	85 	78 	71 	64 	56 	49 	42 	35 	27 	0 	0 	0 	0 											
13 	100 	100 	93 	87 	80 	73 	67 	60 	53 	47 	40 	33 	27 	0 	0 	0 											
14 	100 	100 	94 	88 	82 	75 	69 	63 	57 	51 	45 	38 	32 	26 	0 	0 											
15 	100 	100 	94 	89 	83 	77 	71 	66 	60 	54 	49 	43 	37 	31 	26 	0 											
16 	100 	100 	95 	89 	84 	79 	73 	68 	63 	57 	52 	47 	41 	36 	31 	25 											
																											
기본강화만 초기화	1 	2 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 											
1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
6 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
7 	0 	0 	13 	27 	30 	33 	37 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
8 	0 	0 	11 	23 	34 	36 	37 	39 	0 	0 	0 	0 	0 	0 	0 	0 											
9 	0 	0 	10 	20 	30 	40 	40 	40 	40 	0 	0 	0 	0 	0 	0 	0 											
10 	0 	0 	9 	18 	27 	36 	44 	43 	42 	41 	0 	0 	0 	0 	0 	0 											
11 	0 	0 	8 	16 	24 	32 	40 	48 	46 	44 	42 	0 	0 	0 	0 	0 											
12 	0 	0 	7 	15 	22 	29 	36 	44 	51 	48 	45 	43 	0 	0 	0 	0 											
13 	0 	0 	7 	13 	20 	27 	33 	40 	47 	53 	50 	47 	43 	0 	0 	0 											
14 	0 	0 	6 	12 	18 	25 	31 	37 	43 	49 	55 	52 	48 	44 	0 	0 											
15 	0 	0 	6 	11 	17 	23 	29 	34 	40 	46 	51 	57 	53 	49 	44 	0 											
16 	0 	0 	5 	11 	16 	21 	27 	32 	37 	43 	48 	53 	59 	54 	49 	45 											
																											
파괴	1 	2 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 											
1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
6 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
