monster_name	monster_TID	item_count	item_TID	min	max	percent
히드라	24	2	5008	1	1	30
			5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
고러	55	2	5008	1	1	30
			5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
핑켈	808	2	5008	1	1	30
			5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
발토	766	2	5008	1	1	30
			5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
다르칸	631	2	5008	1	1	30
			5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
뮤라 플라잉워커	1076	2	5008	1	1	30
			5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
벨로스 퀸	1079	2	5008	1	1	30
			5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
로테 대장	1077	2	5008	1	1	30
			5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
노스린 퀸	1080	2	5008	1	1	30
			5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
시링 스트라이커	1078	2	5008	1	1	30
			5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
블루 퀸	1081	2	5008	1	1	30
			5018	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
만티코어 킹	29	2	5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
좀비 로드	86	2	5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
와일드 리쉬	519	2	5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
그리플러 킹	483	2	5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
스네어	46	2	5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
바르바	48	2	5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
블로드	30	2	5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
사르카도스	626	2	5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
자이언트 포이즌 모스	1025	2	5015	1	1	30
			5016	1	1	30
			5017	1	1	30
			1856	1	1	500
			1861	1	1	500
			1891	1	1	500
			1866	1	1	500
			1871	1	1	500
			1876	1	1	500
			1881	1	1	500
			1886	1	1	500
			6075	1	1	500
