lottery_box_tid	pot_Item_tid	min_stack	max_stack	percent
3023	1054	5	10	1500
3023	486	5	10	1800
3023	1976	3	5	1400
3023	266	3	5	700
3023	246	3	5	700
3023	262	3	5	700
3023	254	3	5	700
3023	258	3	5	700
3023	464	2	3	500
3023	472	2	3	500
3023	1127	99	99	600
3023	486	50	99	200
3023	nothing	0	0	0
3022	1034	3	5	1500
3022	1127	30	50	1500
3022	1054	3	5	1500
3022	266	2	3	700
3022	246	2	3	700
3022	262	2	3	700
3022	254	2	3	700
3022	258	2	3	700
3022	486	3	5	1000
3022	1976	2	3	900
3022	486	50	99	100
3022	nothing	0	0	0
3021	233	50	99	1500
3021	1034	1	3	1500
3021	1054	2	3	1500
3021	265	2	3	800
3021	245	2	3	800
3021	261	2	3	800
3021	253	2	3	800
3021	257	2	3	800
3021	486	2	4	1400
3021	486	50	99	100
3021	nothing	0	0	0
3315	1127	60	99	2000
3315	265	1	3	1000
3315	245	1	3	1000
3315	261	1	3	1000
3315	253	1	3	1000
3315	257	1	3	1000
3315	486	1	3	3000
3315	nothing	0	0	0
3316	1050	60	99	2000
3316	265	1	3	1000
3316	245	1	3	1000
3316	261	1	3	1000
3316	253	1	3	1000
3316	257	1	3	1000
3316	486	2	3	3000
3316	nothing	0	0	0
3317	1050	60	99	1500
3317	265	1	3	1000
3317	245	1	3	1000
3317	261	1	3	1000
3317	253	1	3	1000
3317	257	1	3	1000
3317	486	2	5	2000
3317	472	3	5	1500
3317	nothing	0	0	0
3318	265	2	4	800
3318	245	2	4	800
3318	261	2	4	800
3318	253	2	4	800
3318	257	2	4	800
3318	486	4	6	2000
3318	464	3	5	2000
3318	472	3	5	2000
3318	nothing	0	0	0
3319	265	3	5	600
3319	245	3	5	600
3319	261	3	5	600
3319	253	3	5	600
3319	257	3	5	600
3319	486	5	10	2500
3319	464	3	5	2000
3319	472	3	5	1000
3319	266	1	2	300
3319	246	1	2	300
3319	262	1	2	300
3319	254	1	2	300
3319	258	1	2	300
3319	nothing	0	0	0
3320	266	2	3	400
3320	246	2	3	400
3320	262	2	3	400
3320	254	2	3	400
3320	258	2	3	400
3320	464	3	5	3000
3320	472	3	5	1000
3320	486	7	12	4000
3320	nothing	0	0	0
3321	266	2	3	800
3321	246	2	3	800
3321	262	2	3	800
3321	254	2	3	800
3321	258	2	3	800
3321	464	4	6	3000
3321	486	20	30	300
3321	486	10	15	2700
3321	nothing	0	0	0
3322	266	4	5	800
3322	246	4	5	800
3322	262	4	5	800
3322	254	4	5	800
3322	258	4	5	800
3322	464	10	15	3900
3322	486	80	99	100
3322	486	20	30	2000
3322	nothing	0	0	0
3606	3498	10	30	2000
3606	264	3	5	900
3606	244	3	5	900
3606	260	3	5	900
3606	252	3	5	900
3606	256	3	5	900
3606	463	2	3	300
3606	588	2	3	300
3606	591	2	3	300
3606	471	2	3	1000
3606	465	2	3	300
3606	474	2	3	300
3606	600	2	3	300
3606	1169	2	3	300
3606	1172	2	3	300
3606	486	5	10	100
3606	nothing	0	0	0
3607	1125	10	50	5000
3607	1126	10	30	4000
3607	486	2	3	1000
3607	nothing	0	0	0
4570	266	10	30	1180
4570	246	10	30	1180
4570	262	10	30	1180
4570	254	10	30	1180
4570	258	10	30	1180
4570	464	10	30	1180
4570	472	10	30	1180
4570	1170	10	30	1180
4570	486	10	50	560
4570	nothing	0	0	0
4750	4001	1	1	90
4750	4002	1	1	90
4750	4003	1	1	90
4750	4004	1	1	90
4750	4005	1	1	90
4750	4006	1	1	90
4750	4007	1	1	90
4750	4008	1	1	90
4750	4584	1	1	90
4750	4585	1	1	90
4750	4009	1	1	90
4750	4010	1	1	90
4750	4011	1	1	90
4750	4012	1	1	90
4750	4013	1	1	90
4750	4014	1	1	90
4750	4015	1	1	90
4750	4016	1	1	90
4750	4586	1	1	90
4750	4587	1	1	90
4750	4017	1	1	90
4750	4018	1	1	90
4750	4019	1	1	90
4750	4020	1	1	90
4750	4021	1	1	90
4750	4022	1	1	90
4750	4023	1	1	90
4750	4024	1	1	90
4750	4588	1	1	90
4750	4589	1	1	90
4750	4025	1	1	90
4750	4026	1	1	90
4750	4027	1	1	90
4750	4028	1	1	90
4750	4029	1	1	90
4750	4030	1	1	90
4750	4031	1	1	90
4750	4032	1	1	90
4750	4590	1	1	90
4750	4591	1	1	90
4750	4033	1	1	90
4750	4034	1	1	90
4750	4035	1	1	90
4750	4036	1	1	90
4750	4037	1	1	90
4750	4038	1	1	90
4750	4039	1	1	90
4750	4040	1	1	90
4750	4592	1	1	90
4750	4593	1	1	90
4750	4041	1	1	90
4750	4042	1	1	90
4750	4043	1	1	90
4750	4044	1	1	90
4750	4045	1	1	90
4750	4046	1	1	90
4750	4047	1	1	90
4750	4048	1	1	90
4750	4594	1	1	90
4750	4595	1	1	90
4750	4049	1	1	90
4750	4050	1	1	90
4750	4051	1	1	90
4750	4052	1	1	90
4750	4053	1	1	90
4750	4054	1	1	90
4750	4055	1	1	90
4750	4056	1	1	90
4750	4596	1	1	90
4750	4597	1	1	90
4750	4057	1	1	90
4750	4058	1	1	90
4750	4059	1	1	90
4750	4060	1	1	90
4750	4061	1	1	90
4750	4062	1	1	90
4750	4063	1	1	90
4750	4064	1	1	90
4750	4598	1	1	90
4750	4599	1	1	90
4750	4065	1	1	90
4750	4066	1	1	90
4750	4067	1	1	90
4750	4068	1	1	90
4750	4069	1	1	90
4750	4070	1	1	90
4750	4071	1	1	90
4750	4072	1	1	90
4750	4743	1	1	90
4750	4744	1	1	90
4750	4073	1	1	90
4750	4074	1	1	90
4750	4075	1	1	90
4750	4076	1	1	90
4750	4077	1	1	90
4750	4078	1	1	90
4750	4079	1	1	90
4750	4080	1	1	90
4750	4745	1	1	90
4750	4746	1	1	90
4750	4081	1	1	90
4750	4082	1	1	90
4750	4083	1	1	90
4750	4084	1	1	90
4750	4085	1	1	90
4750	4086	1	1	90
4750	4087	1	1	90
4750	4088	1	1	90
4750	4747	1	1	90
4750	4748	1	1	90
4750	nothing	0	0	0
4751	4101	1	1	29
4751	4102	1	1	29
4751	4103	1	1	29
4751	4104	1	1	29
4751	4105	1	1	29
4751	4106	1	1	29
4751	4107	1	1	29
4751	4108	1	1	29
4751	4109	1	1	29
4751	4110	1	1	29
4751	4111	1	1	29
4751	4112	1	1	29
4751	4113	1	1	29
4751	4118	1	1	29
4751	4114	1	1	29
4751	4115	1	1	29
4751	4116	1	1	29
4751	4117	1	1	29
4751	4119	1	1	29
4751	4120	1	1	29
4751	4121	1	1	29
4751	4122	1	1	29
4751	4123	1	1	29
4751	4124	1	1	29
4751	4125	1	1	29
4751	4126	1	1	29
4751	4127	1	1	29
4751	4128	1	1	29
4751	4130	1	1	29
4751	4129	1	1	29
4751	4131	1	1	29
4751	4132	1	1	29
4751	4133	1	1	29
4751	4366	1	1	29
4751	4365	1	1	29
4751	4367	1	1	29
4751	4368	1	1	29
4751	4369	1	1	29
4751	5254	1	1	29
4751	5255	1	1	29
4751	5256	1	1	29
4751	5257	1	1	29
4751	5258	1	1	29
4751	4134	1	1	29
4751	4135	1	1	29
4751	4136	1	1	29
4751	4137	1	1	29
4751	4138	1	1	29
4751	4139	1	1	29
4751	4140	1	1	29
4751	4141	1	1	29
4751	4142	1	1	29
4751	4143	1	1	29
4751	4144	1	1	29
4751	4145	1	1	29
4751	4146	1	1	29
4751	4147	1	1	29
4751	4148	1	1	29
4751	4149	1	1	29
4751	4150	1	1	29
4751	4151	1	1	29
4751	4152	1	1	29
4751	4153	1	1	29
4751	4154	1	1	29
4751	4155	1	1	29
4751	4156	1	1	29
4751	4157	1	1	29
4751	4158	1	1	29
4751	4159	1	1	29
4751	4160	1	1	29
4751	4161	1	1	29
4751	4163	1	1	29
4751	4162	1	1	29
4751	4164	1	1	29
4751	4165	1	1	29
4751	4166	1	1	29
4751	4371	1	1	29
4751	4370	1	1	29
4751	4372	1	1	29
4751	4373	1	1	29
4751	4374	1	1	29
4751	5259	1	1	29
4751	5260	1	1	29
4751	5261	1	1	29
4751	5262	1	1	29
4751	5263	1	1	29
4751	4167	1	1	29
4751	4168	1	1	29
4751	4169	1	1	29
4751	4170	1	1	29
4751	4171	1	1	29
4751	4172	1	1	29
4751	4173	1	1	29
4751	4174	1	1	29
4751	4175	1	1	29
4751	4176	1	1	29
4751	4177	1	1	29
4751	4178	1	1	29
4751	4179	1	1	29
4751	4180	1	1	29
4751	4181	1	1	29
4751	4182	1	1	29
4751	4183	1	1	29
4751	4184	1	1	29
4751	4185	1	1	29
4751	4186	1	1	29
4751	4187	1	1	29
4751	4188	1	1	29
4751	4189	1	1	29
4751	4190	1	1	29
4751	4191	1	1	29
4751	4192	1	1	29
4751	4193	1	1	29
4751	4194	1	1	29
4751	4196	1	1	29
4751	4195	1	1	29
4751	4197	1	1	29
4751	4198	1	1	29
4751	4199	1	1	29
4751	4376	1	1	29
4751	4375	1	1	29
4751	4377	1	1	29
4751	4378	1	1	29
4751	4379	1	1	29
4751	5264	1	1	29
4751	5265	1	1	29
4751	5266	1	1	29
4751	5267	1	1	29
4751	5268	1	1	29
4751	4200	1	1	29
4751	4201	1	1	29
4751	4202	1	1	29
4751	4203	1	1	29
4751	4204	1	1	29
4751	4205	1	1	29
4751	4206	1	1	29
4751	4207	1	1	29
4751	4208	1	1	29
4751	4209	1	1	29
4751	4210	1	1	29
4751	4211	1	1	29
4751	4212	1	1	29
4751	4217	1	1	29
4751	4213	1	1	29
4751	4214	1	1	29
4751	4215	1	1	29
4751	4216	1	1	29
4751	4218	1	1	29
4751	4219	1	1	29
4751	4220	1	1	29
4751	4221	1	1	29
4751	4222	1	1	29
4751	4223	1	1	29
4751	4224	1	1	29
4751	4225	1	1	29
4751	4226	1	1	29
4751	4227	1	1	29
4751	4229	1	1	29
4751	4228	1	1	29
4751	4230	1	1	29
4751	4231	1	1	29
4751	4232	1	1	29
4751	4381	1	1	29
4751	4380	1	1	29
4751	4382	1	1	29
4751	4383	1	1	29
4751	4384	1	1	29
4751	5269	1	1	29
4751	5270	1	1	29
4751	5271	1	1	29
4751	5272	1	1	29
4751	5273	1	1	29
4751	4233	1	1	29
4751	4234	1	1	29
4751	4235	1	1	29
4751	4236	1	1	29
4751	4237	1	1	29
4751	4238	1	1	29
4751	4239	1	1	29
4751	4240	1	1	29
4751	4241	1	1	29
4751	4242	1	1	29
4751	4243	1	1	29
4751	4244	1	1	29
4751	4245	1	1	29
4751	4246	1	1	29
4751	4247	1	1	29
4751	4248	1	1	29
4751	4249	1	1	29
4751	4250	1	1	29
4751	4251	1	1	29
4751	4252	1	1	29
4751	4253	1	1	29
4751	4254	1	1	29
4751	4255	1	1	29
4751	4256	1	1	29
4751	4257	1	1	29
4751	4258	1	1	29
4751	4259	1	1	29
4751	4260	1	1	29
4751	4262	1	1	29
4751	4261	1	1	29
4751	4263	1	1	29
4751	4264	1	1	29
4751	4265	1	1	29
4751	4386	1	1	29
4751	4385	1	1	29
4751	4387	1	1	29
4751	4388	1	1	29
4751	4389	1	1	29
4751	5274	1	1	29
4751	5275	1	1	29
4751	5276	1	1	29
4751	5277	1	1	29
4751	5278	1	1	29
4751	4266	1	1	29
4751	4267	1	1	29
4751	4268	1	1	29
4751	4269	1	1	29
4751	4270	1	1	29
4751	4271	1	1	29
4751	4272	1	1	29
4751	4273	1	1	29
4751	4275	1	1	29
4751	4274	1	1	29
4751	4276	1	1	29
4751	4277	1	1	29
4751	4278	1	1	29
4751	4280	1	1	29
4751	4279	1	1	29
4751	4281	1	1	29
