TID	이름	설명
198	Passport	Moves to last visited town\n\nCannot be used during combat or in a dangerous battle area.
200	Earth Elemental Stone	Level 1, Earth Elemental stone\nCan be attached to weapons or armor.\n10 stones can be refined into a Dust elemental stone\nat the Refinery.\n\nWeapon:\nEarth Damage +3\nArmor:\nEarth Resistance +7%\n
201	Water Elemental Stone	Level 1, Water Elemental stone\nCan be attached to weapons or armor.\n10 stones can be refined into a River elemental stone\nat the Refinery.\n\nWeapon:\nWater Damage +3\nArmor:\nWater Resistance +7%\n
202	Wind Elemental Stone	Level 1, Air Elemental stone\nCan be attached to weapons or armor.\n10 stones can be refined into a Breath elemental stone\nat the Refinery.\n\nWeapon: \nAir damage +3\nArmor: \nAir Resistance +7%\n
203	Fire Elemental Stone	Level 1, Fire Elemental stone\nCan be attached to weapons or armor.\n10 stones can be refined into a Embers elemental stone\nat the Refinery.\n\nWeapon:\nFire Damage +3\nArmor:\nFire Resistance +7%\n
204	Magic Elemental Stone	Level 1, Magic Elemental stone\nCan be attached to weapons or armor.\n10 stones can be refined into a Spirit elemental stone\nat the Refinery.\n\nWeapon:\nMagic Damage +3\nArmor:\nMagic Resistance +7%\n
213	Roundtrip Passport	Teleports from the field to last visited town and back to the field
3857	Roundtrip Passport	Beginner roundtrip passport\nThis can be used to return to the last visited village\nand then return back to your original position\nStorage and player trading is impossible
244	Breath Elemental Stone	Level 2, Air Elemental stone\nIt can be attached to weapons or armor.\10 stones can be refined into a Gale Elemental Stone\nat the Refinery.\n\nWeapon:\nAir Damage +4\nArmor:\nAir Resistance +9%\n
245	Gale Elemental Stone	Level 3, Air Elemental stone\nIt can be attached to weapons or armor.\n10 stones can be refined into a Tornado Elemental stone\nat the Refinery.\n\nWeapon:\nAir Damage +5\nArmor:\nAir Resistance + 12%\n
246	Tornado Elemental Stone	Level 4, Air Elemental stone\nIt can be attached to weapons or armor.\n10 stones can be refined into a Hurricane elemental stone\nat the Refinery.\n\nWeapon:\nAir Damage +6\nArmor:\nAir Resistance +15%\n
247	Hurricane Elemental Stone	Level 5, Air Elemental stone\nIt can be attached to weapons or armor\n\nWeapon:\nAir Damage +7\nArmor:\nAir Resistance +17%\n
252	Dust Elemental Stone	Level 2, Earth Elemental stone\nIt can be attached to weapons or armor.\n10 stones can be refined into a Soil Elemental Stone\nat the Refinery.\n\nWeapon:\nEarth Damage +4\nArmor:\nEarth Resistance +9%\n
253	Soil Elemental Stone	Level 3, Earth Elemental stone\nIt can be attached to weapons or armor.\n10 stones can be refined into a Tremor elemental stone\nat the Refinery.\n\nWeapon:\nEarth Damage +5\nArmor:\nEarth Resistance +12%\n
254	Tremor Elemental Stone	Level 4, Earth Elemental stone\nIt can be attached to weapons or armor\n10 stones can be refined into a Terra elemental stone\nat the Refinery.\n\nWeapon:\nEarth Damage +6\nArmor:\nEarth Resistance +15%\n
255	Terra Elemental Stone	Level 5, Earth Elemental stone\nIt can be attached to weapons or armor\n\nWeapon:\nEarth Damage +7\nArmor:\nEarth Resistance +17%\n
256	Spirit Elemental Stone	Level 2, Magic Elemental stone\nIt can be attached to weapons or armor.\10 stones can be refined into a Meditation Elemental stone\nat the Refinery.\n\nWeapon:\nMagic Damage +4\nArmor:\nMagic Resistance +9%\n
257	Meditation Elemental Stone	Level 3, Magic Elemental stone\nIt can be attached to weapons or armor.\n10 stones can be refined into a Transcendence elemental stone\nat the Refinery.\n\nWeapon:\nMagic Damage +5\nArmor:\nMagic Resistance +12%\n
258	Transcendence Elemental Stone	Level 4, Magic Elemental stone\nIt can be attached to weapons or armor.\n10 stones can be refined into a Nirvana elemental stone\nat the Refinery.\n\nWeapon:\nMagic Damage +6\nArmor:\nMagic Resistance +15%\n
259	Nirvana Elemental Stone	Level 5, Magic Elemental stone\nIt can be attached to weapons or armor\n\nWeapon:\nMagic Damage +7\nArmor:\nMagic Resistance +17%\n
260	River Elemental Stone	Level 2, Water Elemental stone\nIt can be attached to weapons or armor.\n 10 stones can be refined into a Fog Elemental stone\nat the Refinery.\n\nWeapon:\nWater Damage +4\nArmor:\nWater Resistance +9%\n
261	Fog Elemental Stone	Level 3, Water Elemental stone\nIt can be attached to weapons or armor.\n10 stones can be refined into a Waterfall elemental stone\nat the Refinery.\n\nWeapon:\nWater Damage +5\nArmor:\nWater Resistance +12%\n
262	Waterfall Elemental Stone	Level 4, Water Elemental stone\nIt can be attached to weapons or armor.\n10 stones can be refined into a Sea elemental stone\nat the Refinery.\n\nWeapon:\nWater Damage +6\nArmor:\nWater Resistance +15%\n
263	Sea Elemental Stone	Level 5, Water Elemental stone\nIt can be attached to weapons or armor\n\nWeapon:\nWater Damage +7\nArmor:\nWater Resistance +17%\n
264	Embers Elemental Stone	Level 2, Fire Elemental stone\nIt can be attached to weapons or armor.\n10 stones can be refined into a Blaze Elemental Stone\nat the Refinery.\n\nWeapon:\nFire Damage +4\nArmor:\nFire Resistance +9%\n
265	Blaze Elemental Stone	Level 3, Fire Elemental stone\nIt can be attached to weapons or armor.\n10 stones can be refined into a Inferno elemental stone\nat the Refinery.\n\nWeapon:\nFire Damage +5\nArmor:\nFire Resistance +12%\n
266	Inferno Elemental Stone	Level 4, Fire Elemental stone\nIt can be attached to weapons or armor\n10 stones can be refined into a Meteor elemental stone\nat the Refinery.\n\nWeapon:\nFire Damage +6\nArmor:\nFire Resistance +15%\n
267	Meteor Elemental Stone	Level 5, Fire Elemental stone\nIt can be attached to weapons or armor\n\nWeapon:\nFire Damage +7\nArmor:\nFire Resistance +17%\n
396	Deer Potion	Deer metamorphosis for 4 mins\nPhysical Damage +28\nMovement speed +33%
397	Bat Potion	Bat metamorphosis for 4 mins\nPhysical Damage +24\nMovement speed +33%
398	Boar Potion	Boar metamorphosis for 4 mins\nPhysical Damage +30\nMovement speed +50%
399	Worm Potion	Enables for worm metamorphosis\nAttack and rating increases
400	Viper Potion	Viper metamorphosis for 4 mins\nPhysical Damage +36\nHP +132
401	Moth Potion	Helps in giant moth metamorphosis
402	Skeleton Potion	Skeleton metamorphosis for 4 mins\nPhysical Damage +54\nPhysical Defense +21\nMovement speed decreases 17%
403	Goblin Potion	Goblin metamorphosis for 4 mins\nPhysical Damage +35
404	Hobgoblin Potion	Helps taking Hobgoblin metamorphosis
405	Bear Potion	Bear metamorphosis for 4 mins\nPhysical Damage +60\nHP +244
406	Spider Potion	Spider metamorphosis for 4 mins\nPhysical Damage +28
407	Zombie Potion	Zombie metamorphosis for 4 mins\nPhysical Damage +28\nPhysical Defense +27\nMovement speed decreases 34%
408	Chicken Potion	Helps taking hen metamorphosis\nCombat is not allowed,\nbut the character never dies
409	Cow Potion	Helps taking rhino metamorphosis\nCombat is not allowed,\nbut the character never dies
410	Horse Potion	Helps taking horse metamorphosis\nCombat is not available,\nbut the character can't die
411	Sheep Potion	Helps taking sheep metamorphosis\nCombat is not allowed,\nbut the character never dies
412	Goat Potion	Helps taking goat metamorphosis\nCombat is not allowed,\nbut the character never dies
413	Cat Potion	Helps in cat metamorphosis\nCombat is not available,\nbut the character can't die
414	Rhinoceros Potion	Helps taking rhinoceros metamorphosis\nCombat is not allowed,\nbut the character never dies
415	Pig Potion	Helps taking pig metamorphosis\nCombat is not available,\nbut the character can't die
416	Dog Potion	Helps in dog metamorphosis\nCombat is not available,\nbut the character can't die
417	Deer Metamorphosis Recipe	Enhances success rate of deer metamorphosis potion compounding
418	Bat Metamorphosis Recipe	Enhances success rate of bat metamorphosis potion compounding
419	Boar Metamorphosis Recipe	Enhances success rate of boar metamorphosis potion compounding
420	Worm Metamorphosis Recipe	Enhances success rate of worm metamorphosis potion compounding
421	Viper Metamorphosis Recipe	Enhances success rate of viper metamorphosis potion compounding
422	Moth Metamorphosis Recipe	Enhances success rate of moth metamorphosis potion compounding
423	Skeleton Metamorphosis Recipe	Enhances success rate of skeleton metamorphosis potion compounding
424	Goblin Metamorphosis Recipe	Enhances success rate of goblin metamorphosis potion compounding
425	Hobgoblin Metamorphosis Recipe	Enhances success rate of Hobgoblin metamorphosis potion compounding
426	Bear Metamorphosis Recipe	Enhances success rate of bear metamorphosis potion compounding
427	Spider Metamorphosis Recipe	Enhances success rate of spider metamorphosis potion compounding
428	Zombie Metamorphosis Recipe	Enhances success rate of zombie metamorphosis potion compounding
429	Chicken Metamorphosis Recipe	Enhances success rate of hen metamorphosis potion compounding
430	Cow Metamorphosis Recipe	Enhances success rate of rhino metamorphosis potion compounding
431	Horse Metamorphosis Recipe	Enhances success rate of horse metamorphosis potion compounding
432	Dog Metamorphosis Recipe	Enhances success rate of dog metamorphosis potion compounding
433	Sheep Metamorphosis Recipe	Enhances success rate of sheep metamorphosis potion compounding
434	Goat Metamorphosis Recipe	Enhances success rate of goat metamorphosis potion compounding
435	Cat Metamorphosis Recipe	Enhances success rate of cat metamorphosis potion compounding
436	Rhinoceros Metamorphosis Recipe	Enhances success rate of rhinoceros metamorphosis potion compounding
437	Pig Metamorphosis Recipe	Enhances success rate of pig metamorphosis potion compounding
438	Elemental Water	Fountain water blessed by spirits
439	Deer Grass	Deer's favorite grass\nUsed in Cooking and Alchemy:\n\nSugary Sweet Potato\nDeer Potion
440	Cave Stone	Piece of stalactite from the cave where the bat lives
441	Clay Fragment	Dried clay from the place where the boars live\nUsed in Cooking and Alchemy:\n\nWind Jerky\nBoar Potion
442	Crow Cocoon	Piece of cocoon made by the worm\nUsed in Cooking:\n\nBBQ of Acclimatization
443	Deadly Poison Scale	Scale shed by the viper\nUsed in Cooking and Alchemy:\n\nWater Jerky\nViper Potion
444	Moth Venom Powder	Poison dust from the moth's wings\nUsed in Cooking:\n\nRejuvenation Pie
445	Grave Soil	Soil of the grave where the skeleton was born
446	Reed's Fruits	Fruit found on the riverbank where the goblin lives
447	Swamp Ash Tree	Hobgoblin's favorite swamp ash piece
448	Bear's Blood	Blood froth from the bear\nUsed in Cooking and Alchemy:\n\nRiver Jerky\nBear Potion
449	Tough Cobweb	Cobweb ball made by the spider\nUsed in Cooking and Alchemy:\n\nBroiled Meat of Vitality\nSpider Potion
450	Bone Dust	Ground powder from the zombie's decayed bone\nUsed in Cooking and Alchemy:\n\nBroild Meat of Transcendence\nZombie Potion
451	Egg	Egg laid by the hen
452	Bull's Horn	Horn of a 10-year-old bull
453	Horse's Hair	Horsehair cut in the late night with the full moon
454	Faithful Dog's Collar	Collar of the dog that served its owner for a long time
455	Wool	Wool shorn 25th from the sheep
456	Goat Beard	Whisker of the goat
457	Cat's Hairball	Knitting ball of the dead cat
458	Rhinoceros' Horn	Horn of the an old rhino
459	Pig's Tail	Tail of the pig that easily runs away
622	Sweet Seasoning	Flavor for sweet taste\nEnhances success rate of some dishes\n\nSugary Sweet Potato\nHoney Sweet Potato\nSyrupy Sweet Potato\nEarthen Stew\nTranscendence Stew
623	Salty Seasoning	Flavor for salty taste\nEnhances success rate of some dishes:\n\nBroiled Meat of Vitality\nBroiled Meat of Life\nBroiled Meat of Transcendence\nScorching Stew\nSilence Defense Stew
624	Bitter Seasoning	A flavor with a bitter taste\nEnhances the success rate of some dishes:\n\nBBQ of Acclimatization\nBBQ of Sage\nBBQ of Nirvana\nGentle Breeze Defense Stew\nWaterfall Stew
625	Sour Seasoning	Flavor for sour taste\nEnhances success rate of some dishes:\n\nRejuvenation Pie\nHealing Pie\nHealth Pie\nMolten Stew
626	Spicy Seasoning	Flavor for hot taste\nEnhances success rate of some dishes:\n\nRejuvenation Roast\nHealing Roast\nHealth Roast\nMeditation Defense Stew
627	Cool Seasoning	Flavor for cool taste\nEnhances success rate of some dishes:\n\nFire Jerky / Seared Jerky\nWind Jerky / Storm Jerky\nWater Jerky / River Jerky / Mist Jerky\nEarthen Jerky / Plain Jerky\nMagic Jerky / Brain Jerky\nEarthen Stew / Plain Stew / Mountain Defense Stew\nMagic Stew / Brain Stew\nFire Stew / Seared Stew\nWind Stew / Strom Stew\nWatery Stew / River Stew
628	Alluring Seasoning	Flavor for addition kick, not only taste\nEnhances success rate of some dishes
629	Refreshing Spice	Spice for refreshing scent\nEnhances success rate of some dishes
630	Hot Spice	Spice for peppery scent\nEnhances success rate of some dishes
632	Lettuce	Fresh Lettuce\nUsed in certain dishes:\n\nSoup of Attack\nSoup of Raid\nSoup of Fury\nMist Stew\nWaterfall Stew
633	Parsley	Used with lettuce in many dishes\nUsed as ingredient for certain dishes:\n\nBBQ of Acclimatization\nBBQ of Sage\nBBQ of Nirvana\nGentle Breeze Defense Stew\nSilence Defense Stew
634	Spicy Onion	Hot and cold ingredient\nUsed in certain dishes:\n\nRejuvenation Roast\nHealing Roast\nHealth Roast\nMeditation Defense Stew\nTranscendence Stew
635	Garlic	Pungent garlic\nUsed in certain dishes\n\nFire Jerky\nWind Jerky\nWater Jerky\nEarthen Jerky\nMagic Jerky\nEarthen Stew\nMagic Stew\nFire Stew\nWind Stew\nWatery Stew
636	Spicy Garlic	The hottest of hot garlic\nUsed as an ingredient in certain dishes:\n\nSeared Jerky\nStorm Jerky\nRiver Jerky\nEarthen Jerky\nBrain Jerky\nPlain Stew\nBrain Stew\nSeard Stew\nStorm Stew\nRiver Stew
637	Mushroom	Fungi that grows in the shade or stumps\nUsed as an ingredient for certain dishes
638	Cave Mushroom	Mushroom that grow in the cave\nUsed as ingredient for certain dishes
639	Milk	Fresh milk from cattle\nUsed as ingredient for dishes:\n\nRejuvenation Pie\nHealing Pie
640	Sweet Potato	Sweet potato grown in the kitchen garden\nUsed in Cooking:\n\nSugary Sweet Potato\nHoney Sweet Potato\nSyrupy Sweet Potato\nEarthen Stew\nMountain Defense Stew
641	Potato	Potato grown on high ground\nUsed in Cooking:\n\nBroiled Meat of Vitality\nBroiled Meat of Life\nBroiled Meat of Transcendence\nScorching Stew\nMolten Stew
642	Meat	Salted meat for storage\nUsed as ingredient in certain dishes
643	Dried Meat	Dried meat for storage\nUsed in some dishes
654	Gathering Knife	A small knife with an extremely sharp blade\nsuited for carving and slicing\nRequired for the use of Gathering skills\nInventory Item
655	Cooking Tools	Cookers made for the chef\nUsed in cooking (Not attachable)
656	Buckskin	Ingredient for deer metamorphosis potion
663	Explosion Scroll	Decreases target's HP by 5% and gives Fire Damage of +20\n15m radius circle\nCooldown time: 1 minute\nEffective distance is 18m\nRadius: 30m
664	Poison Scroll	Poison Damage to the target\nPoison Damage +15 every 3 secs for 30 secs\nCooldown 1 min\nEffective distance is 18m
665	Lightning Scroll	+50 Lightning Damage to the target\n5% chance to stun for 3 secs\nCooldown 1 min\nEffective distance 18m
714	Boar's Hide	Ingredient for boar metamorphosis potion
715	Bat's Skin	Ingredient for bat metamorphosis potion
716	Viper's Skin	Ingredient for viper metamorphosis potion
717	Fine Boar's Hide	Fine skin peeled from\na fierce boar that is hard to hunt\nAcquired with skinning skill
718	Bearskin	Bear leather covered with leaves\nIngredient for bear metamorphosis potion
719	Fine Bat's Skin	Fine skin peeled from\na large bat that is hard to hunt\nAcquired with skinning skill
720	Fine Buckskin	Fine skin peeled from\na large deer that is hard to hunt\nAcquired with skinning skill
721	Wolf's Hide	Ingredient for wolf metamorphosis potion
722	Excellent Bat's Skin	The highest quality bat skin\nMainly used for tailoring high-class dresses
724	Werewolf's Hide	Fine skin peeled from\na fierce wolf that is hard to hunt\nAcquired with skinning skill
726	Fine Bearskin	Fine skin peeled from\na fierce bear that is hard to hunt\nAcquired with skinning skill
728	Gargoyle's Skin	Gargolye skin as hard as stone\nIngredient for gargoyle metamorphosis potion
729	Excellent Wolf's Hide	The highest quality wolf's hide\nMainly used for tailoring high-class dresses
730	Venison	Tender flesh from deer's leg.\nUsed in:\nSoup of Attack\nWind Jerky\nHealing Pie\nSoup of Rage
731	Boar Meat	Flesh from boar's neck.\nUsed in Cooking:\n\nSugary Sweet Potato\nWater Jerky\nSeared Jerky\nSyrupy Sweet Potato
732	Fine Boar Meat	High-quality boar meat\nCooked into special stew or broiled meat\nAcquired with carving skill
733	Fine Deer Meat	High-quality deer meat\nCooked into special stew or broiled meat\nAcquired with carving skill
734	Rembrandt's Quest Letter	Rembrandt's letter that\nkindly explains the basic tutorial
735	Rembrandt's Letter	Letter of recommendation to show to Mayor Megara of Delfaras
742	Caron's Letter	Caron's Letter to Vicon
767	Mikey's Document	The document written by ancient sorcerer Mikey
770	Joaquin's Log	Literature written by pharmacist Joaquin about the Archlord
776	Sealed Box	A tightly sealed box that you can't open\nSeems like you don't need to open it
780	Map Box	The Box containing the map to the unknown world
790	Ring of Control	The ring is said to realize\neverything in mind
792	Ring of Entry Covenant	A symbol ring\ngiven to participants in the Parade of Ice
794	Wedding Ring	Wedding Ring of a traveler who died unhappily
799	Skeleton Necklace	Evil necklace that is said to give\neternal life to the Undead
810	Lara's Elemental Water	Ryan, the merchant bought this expensive Water\nfrom Lara, the wandering alchemist\nIt is said that Water grants eternal youth
813	Gnome's Steel Ingot	Fine steel ingot smelted and refined by gnomes\nThis belongs to Bleth, the merchant
813	Gnome's Steel Ingot	Fine steel ingot smelted and refined by gnomes
814	Mysterious Metal	The nature of this metal is unknown,\nbut it is strong and easy to shape\nThis metal is produced in the old mine
815	Shining Metal	Very similar to gold\nIt is rare and expensive,\nbut nobody is sure what it really is
816	Oriharcon Ingot	Oriharcon is full of legends\nand has magical power
816	Oriharcon Ingot	Ingot of legendary Oriharcon
825	Mysterious Talisman	One of the three seals of Shinewood
843	Burusoto's Quest Letter	Brusoto's letter that\nkindly explains the basic tutorial
844	Carrier Pigeon's Letter	Letter that fell from a pigeon
847	Letter to Dason	Letter of recommendation to show to Mayor Darson of Kuhn
849	Three Book Seals	Magic book with 3 seals
850	Two Book Seals	Magic book with 2 seals
851	One Book Seal	Magic book with 1 seal
865	Map of Solcid	The map that shows detailed information\nabout the area near the Solcid Mountains\nIt is an invaluable treasure
869	Small Box - Sealed	Tightly sealed chest
876	Magic Square Jewel	The jewel was carefully held by the Viper King
881	Village Jewel Trisanka	A magic jewel that is to be used in Delfaras
882	Turquoise Jewel	Very expensive water jewel
883	Booke's Ring	This ring is a keepsake of Burke, the nephew of Mayor Cutty
884	Stimulant Potion	This potion can break ancient magic
887	Magic Potion	The potion made for Elva
888	Seal Lifting Potion	The seal-breaking potion made for special purposes\nNo seal can resist this potion
890	Bottle of Musk	The bottle containing oil\nsecreted from Shadow Bear's musk gland
906	Monster's Hide	Precious leather that is carefully dressed
915	Unstable Metal	This metal gives unique feeling
920	Ruby of Prophecy	One of the two gems used to decorate\nthe cover of the book of ancient prophet Adams
921	Ring of Magical Inscription	This ring is said to be forged by Martin Legen,\nthe initiator of Tullan, in his last years\nStrange letters are carved inside the ring
933	Ring of Oath	This ring is the proof of old alliance\nbetween the Arachnoids and the Yeti Tribe
