스킬종류	레벨	지급경험치 최소값	지급경험치 최대값	성공확률 설정팩터	레벨업경험치	레벨업누적경험치		
수집 스킬	1	5	7	0	103	103		
수집 스킬	2	7	10	2	260	363		
수집 스킬	3	10	13	4	597	960		
수집 스킬	4	15	20	6	1290	2250		
수집 스킬	5	20	25	8	2705	4955		
수집 스킬	6	30	38	10	5582	10537		
수집 스킬	7	40	50	12	11380	21917		
수집 스킬	8	50	65	14	23005	44922		
수집 스킬	9	65	75	16	46375	91297		
수집 스킬	10	75	90	18	93020	184317		
수집 스킬	11	90	100	20	186430	370747		
수집 스킬	12	100	115	22	373155	743902		
수집 스킬	13	115	125	24	746725	1490627		
수집 스킬	14	125	140	26	1493770	2984397		
수집 스킬	15	140	150	28	2987980	5972377		
요리하기	1	5	7	0	50	50
요리하기	2	7	10	2	140	190
요리하기	3	10	13	4	500	690
요리하기	4	15	20	6	1200	1890
요리하기	5	20	25	8	3600	5490
요리하기	6	30	38	10	8400	13890
요리하기	7	40	50	12	16800	30690
요리하기	8	50	65	14	29500	60190
요리하기	9	65	75	16	52650	112840
요리하기	10	75	90	18	81000	193840
요리하기	11	90	100	20	186430	380270
요리하기	12	100	115	22	373155	753425
요리하기	13	115	125	24	746725	1500150
요리하기	14	125	140	26	1493770	2993920
요리하기	15	140	150	28	2987980	5981900
연금술	1	5	7	0	50	50
연금술	2	7	10	2	140	190
연금술	3	10	13	4	500	690
연금술	4	15	20	6	1200	1890
연금술	5	20	25	8	3600	5490
연금술	6	30	38	10	8400	13890
연금술	7	40	50	12	16800	30690
연금술	8	50	65	14	29500	60190
연금술	9	65	75	16	52650	112840
연금술	10	75	90	18	81000	193840
연금술	11	90	100	20	186430	380270
연금술	12	100	115	22	373155	753425
연금술	13	115	125	24	746725	1500150
연금술	14	125	140	26	1493770	2993920
연금술	15	140	150	28	2987980	5981900
