Option TID	옵션내용	Option GroupID	 Inchant Rate
1002	Damage +3	1	50
1002	Damage +3	1	150
1088	Damage +4	1	1545
1088	Damage +4	1	4000
1088	Damage +4	1	2000
1088	Damage +4	1	1244
1088	Damage +4	1	1000
1003	Damage +5	1	10
1003	Damage +5	1	1
1089	Defense Rating +3	2	50
1089	Defense Rating +3	2	150
1090	Defense Rating +4	2	1545
1090	Defense Rating +4	2	4000
1090	Defense Rating +4	2	2000
1090	Defense Rating +4	2	1244
1090	Defense Rating +4	2	1000
1091	Defense Rating +5	2	10
1091	Defense Rating +5	2	1
1025	Wisdom +6	3	50
1026	Wisdom +7	3	150
1027	Wisdom +8	3	1545
1028	Wisdom +9	3	4000
1029	Wisdom +10	3	2000
1030	Wisdom +11	3	1244
1031	Wisdom +12	3	1000
1032	Wisdom +13	3	10
1033	Wisdom +14	3	1
1069	All Stats +2	4	50
1070	All Stats +3	4	150
1071	All Stats +4	4	1545
1072	All Stats +5	4	4000
1073	All Stats +6	4	2000
1092	All Stats +7	4	1244
1093	All Stats +8	4	1000
1094	All Stats +9	4	10
1095	All Stats +10	4	1
1034	Strength +6	5	50
1035	Strength +7	5	150
1036	Strength +8	5	745
1037	Strength +9	5	2000
1038	Strength +10	5	4000
1039	Strength +11	5	2000
1040	Strength +12	5	1000
1041	Strength +13	5	50
1042	Strength +14	5	5
1074	All Elemental Resistances +10%	6	8000
1075	All Elemental Resistances +15%	6	1980
1076	All Elemental Resistances +20%	6	20
1077	All Elemental Resistances +25%	6	0
1078	All Elemental Resistances +30%	6	0
1046	Intelligence +6	7	50
1047	Intelligence +7	7	150
1048	Intelligence +8	7	745
1049	Intelligence +9	7	2000
1050	Intelligence +10	7	4000
1051	Intelligence +11	7	2000
1052	Intelligence +12	7	1000
1053	Intelligence +13	7	50
1054	Intelligence +14	7	5
1055	Agility +6	8	50
1056	Agility +7	8	150
1057	Agility +8	8	745
1058	Agility +9	8	2000
1059	Agility +10	8	4000
1060	Agility +11	8	2000
1061	Agility +12	8	1000
1062	Agility +13	8	50
1063	Agility +14	8	5
1096	All Elemental Resistances +2%	9	50
1097	All Elemental Resistances +3%	9	150
1098	All Elemental Resistances +4%	9	745
1099	All Elemental Resistances +5%	9	2000
1100	All Elemental Resistances +6%	9	4000
1101	All Elemental Resistances +7%	9	2000
1102	All Elemental Resistances +8%	9	1000
1103	All Elemental Resistances +9%	9	50
1104	All Elemental Resistances +10%	9	5
1105	All Elemental Attacks +2	10	50
1106	All Elemental Attacks +3	10	150
1107	All Elemental Attacks +4	10	745
1108	All Elemental Attacks +5	10	2000
1109	All Elemental Attacks +6	10	4000
1110	All Elemental Attacks +7	10	2000
1111	All Elemental Attacks +8	10	1000
1112	All Elemental Attacks +9	10	50
1113	All Elemental Attacks +10	10	5
