고통의 입구	Gate of Pain
글렌데스틴 숲 남동부	Southeast Glendestine Forest
드래곤시온 요새	DragonScion Fortress
드래곤시온 요새 입구	DragonScion Fortress Entrance
드래이거 내부	Drayger Inside
드래이거 내성문	Drayger Castle Internal Gate
드래이거 렌스피어 입구	Drayger Rensphere Entrance
드래이거 성 내부	Drayger Castle Inside
드래이거 성 성주 사냥터	Drayger Castle Secret Dungeon
드래이거 성주 사냥터	Drayger Secret Dungeon
드래이거 외성문	Drayger External Gate
랜스피어 성 내부	Rensphere Castle Inside
랜스피어 성주 사냥터	Rensphere Secret Dungeon
랜스피어성 내부	Rensphere Inside
렌스피어 남서쪽	Rensphere Southwest Area
미련의 방	Chamber of Regret
배틀게이트 스톨	Stull Battlegate
배틀로얄 경기장	Battle Royal Arena
벨제루크 동부	East Belzeruk
벨제루크 북서부	Northwest Belzeruk
분란의 방	Chamber of Disorder
비난의 방	Chamber of Censure
비애의 방	Chamber of Sorrow
시련의 동굴 2층 입구	Cave of Trials 1st Floor Entrance
시련의 동굴 2층 출구	Cave of Trials 1st Floor Exit
시련의 동굴 입구	Cave of Trials Entrance
시련의 동굴 출구	Cave of Trials Exit
시련의 입구	Gate of Trials
시엔 마을	Cien Village
엘리시온 동쪽	Elyscion Eastern Area
원망의 방	Chamber of Grudge
원한의 입구	Gate of Grudge
유폐된 광산 2층 입구	Abandoned Mine 1st Floor Entrance
유폐된 광산 2층 출구	Abandoned Mine 1st Floor Exit
유폐된 광산 3층 입구	Abandoned Mine 2nd Floor Entrance
유폐된 광산 3층 출구	Abandoned Mine 2nd Floor Exit
유폐된 광산 내부	Abandoned Mine Inside
유폐된 광산 입구	Abandoned Mine Entrance
유폐된 광산 출구	Abandoned Mine Exit
유혹의 입구	Gate of Temptation
젠클리어 남동부	Southeast Zenclier
젠클리어 남동쪽	Zenclier Southeast Area
젠클리어 남부	South Zenclier
젠클리어 남쪽	Zenclier Southern Area
젠클리어 동부	East Zenclier
젠클리어 동쪽	Zenclier Eastern Area
젠클리어 서부	West Zenclier
젠클리어 서쪽	Zenclier Western Area
젠클리어 중앙 동부	East Central Zenclier
젠클리어 중앙 동쪽	Zenclier East Central Area
젠클리어 중앙 서부	Central West Zenclier
젠클리어 중앙 서쪽	Zenclier West Central Area
좌절의 방	Chamber of Despair
증오의 입구	Gate of Hatred
질시의 방	Chamber of Jealousy
탄식의 입구	Gate of Deplore
탐욕의 무덤 2층 입구	Tomb of Greed 1st Floor Entrance
탐욕의 무덤 2층 출구	Tomb of Greed 1st Floor Exit
탐욕의 무덤 3층 입구	Tomb of Greed 2nd Floor Entrance
탐욕의 무덤 3층 출구	Tomb of Greed 2nd Floor Exit
탐욕의 무덤 내부	Tomb of Greed Inside
탐욕의 무덤 입구	Tomb of Greed Entrance
탐욕의 무덤 출구	Tomb of Greed Exit
트레바인 남부	South Trebain
트레바인 상부	Upper Trebain
트레바인 하부	Lower Trebain
파멸의 입구	Gate of Ruin
포츈로드 동부	East Fortune Road
포츈로드 북부	North Fortune Road
혼돈의 방	Chamber of Chaos
혼란의 입구	Gate of Chaos
엘리시온	Elyscion
루시아스	Lucious
아뮤네시아	Amunesia
벨제루크	Belzeruk
멜트라인	Meltline
드래이거 성	Drayger Castle
드래이거 성 인근	Drayger Castle Vicinity
포츈로드	Fortune Road
시엔	Cien
사리엔드	Sariend
란파	Ranfa
톤파	Tonfa
스톨	Stull
젠클리어 폭포	Zenclier Waterfall
마다가르 파이프	Madagar Pipe
룽페이수련장	Lungfei Dojo
카르마관문	Karma Barrier
와일드본 성전	Wild Bone Temple
메멘토뉴엄	Mementonium
드라카로 성전	Drakaro Church
포스크랙	Poscrack
피의 늪	Blood Swamp
피의 산	Blood Mountain
골램지역	Golem Territory
피드밀	Feedmill
사형장	Execution Ground
나선의 길	Spiral Road
글렌데스틴 숲	Glendestine Forest
보화의 골짜기	Treasure Valley
포세이큰의 둥지	Nest of the Forsaken
스릴킬	Srilkil
빙헬	Veihel
시련의 길	Road of Trials
글렌데스틴 화산	Glendestin Volcano
할리엔	Halien
트레바인	Trebain
스톨 길드 전투 경기장	Stull Guild Battle Arena
탐욕의 무덤1층	Tomb of Greed Ground Floor
탐욕의 무덤2층	Tomb of Greed 1st Floor
탐욕의 무덤3층	Tomb of Greed 2nd Floor
유폐된 광산1층	Abandoned Mine Ground Floor
유폐된 광산2층	Abandoned Mine 1st Floor
유폐된 광산3층	Abandoned Mine 2nd Floor
시련의 동굴1층	Cave of Trials Ground Floor
시련의 동굴2층	Cave of Trials 1st Floor
죽은자의 전장	Battleground of the Dead
드래이거 비밀의 던전	Secret Dungeon of Drayger
드래이거 비밀의 던전 입구	Entrance to the Secret Dungeon of Drayger
번뇌의 방	Chamber of Agony
드래곤시온 지역	DragonScion Territory
드래곤시온 요새	DragonScion Fortress
화합의 회랑	Corridor of Harmony
혼돈의 중심	Center of Chaos
오크 지역	Orc Zone
휴먼 지역	Human Zone
문엘프 지역	Moon Elf Zone
배틀그라운드	Battle Ground
드래곤시온 지역	Dragonscion Zone
드래곤시온 요새	Dragonscion Fortress
드래곤시온 요새 입구	Dragonscion Fortress Entrance
오크 요새	Orc Fortress
오크 요새 입구	Orc Fortress Entrance
문엘프 요새	Moon Elf Fortress
문엘프 요새 입구	Moon Elf Fortress
휴먼 요새	Human Fortress
휴먼 요새 입구	Human Fortress Entrance
화전민마을	Village of Seethe
버려진 과수원	Abandoned Orchard
알게마분지	Algema Basin
앵커빌	Anchorville
배틀게이트 앵커빌	Anchorville Battlegate
앵커빌 마을	Anchorville Village
로만 파르칼	Ancient Parkal
앙스펠호수	Angspel Lake
에리엘	Ariel
아르시안 성	Arthian Castle
아르시안 성 인근	Arthian Castle Vicinity
아르시안 내부	Arthian Castle Inside 
아르시안 성 성주 사냥터	Arthian Castle Secret Dungeon
아르시안 렌스피어 입구	Arthian Entrance
