name	skill_level	skill_type	skill_type2	buff_type	require_class_knight	require_class_archer	require_class_wizard	require_class_berserker	require_class_hunter	require_class_sorcerer	require_class_swashbuckler	require_class_ranger	require_class_elementaler	require_class_slayer	require_class_obiter	require_class_summoner	require_class_scion	require_level	require_point	require_heroic_point	require_charisma_point	damage_a	damage_magic	damage_water	damage_air	damage_earth	damage_fire	damage_poison	damage_ice	damage_thunder	dmg_heroic	damage_c	damage_a_PERCENT	damage_magic_PERCENT	damage_water_PERCENT	damage_air_PERCENT	damage_earth_PERCENT	damage_fire_PERCENT	damage_poison_PERCENT	damage_ice_PERCENT	damage_thunder_PERCENT	dmg_heroic_percent	damage_c_PERCENT	resist_a	cost_hp	cost_mp	cost_sp	cost_arrow	endskill_cost_hp	cast_time	recast_time	semi_recast_time	duration	interval	show damage	range	area_r	area_f1	area_f2	dot_dmg_a	dot_dmg_magic	dot_dmg_water	dot_dmg_air	dot_dmg_earth	dot_dmg_fire	dot_dmg_poison	dot_dmg_ice	dot_dmg_thunder	dot_dmg_heroic	dot_dmg_a_PERCENT	dot_dmg_magic_PERCENT	dot_dmg_water_PERCENT	dot_dmg_air_PERCENT	dot_dmg_earth_PERCENT	dot_dmg_fire_PERCENT	dot_dmg_poison_PERCENT	dot_dmg_ice_PERCENT	dot_dmg_thunder_PERCENT	move_distance	reflect_max	heroic_reflect_max	defense_max	reflect_con	defense_con	damage_shield	counter_up	counter_reduce	hot	dmg_adjust	dmg_show_divide	hp_recovery	mp_recovery	sp_recovery	warrior_lev	change_monster	block_point	stun_time	stun_generate_time	critical	skill_range	skill_rate	damage_convert_hp	damage_convert_mp	regen_hp	regen_mp	charge_1	charge_2	charge_3	aggrodoll_hp	dot_damage_time	cost_mp_decrease	cast_time_decrease	skill_levelup	mp_convert_hp	death	time_control	item_parts	skill_cost	skill_upgrade_cost	skill_classify_id	skill_classify_level	velocity	summons_tid	creature_tid	additional_skilltid	additional_duration	max_target_num	limit_quantity	summons_count	bonus_exp	bonus_money	bonus_drop_rate	bonus_charisma_add_rate	level_diff	divide_rate	ea_damage_physical	ea_damage_magic	ea_damage_water	ea_damage_air	ea_damage_earth	ea_damage_fire	ea_damage_poison	ea_damage_ice	ea_damage_thunder	ea_damage_c	ea_damage_physical_PERCENT	ea_damage_magic_PERCENT	ea_damage_water_PERCENT	ea_damage_air_PERCENT	ea_damage_earth_PERCENT	ea_damage_fire_PERCENT	ea_damage_poison_PERCENT	ea_damage_ice_PERCENT	ea_damage_thunder_PERCENT	ea_damage_c_PERCENT	FACTOR_POINT	con	str	int	dex	cha	wis	movement	hp	mp	sp	ap	agro	max_hp	max_mp	max_sp	atk_speed	atk_range	skill_cast	skill_delay	hit_rate	evade_rate	dodge_rate	dmg_min_physical	dmg_min_magic	dmg_min_water	dmg_min_air	dmg_min_earth	dmg_min_fire	dmg_min_poison	dmg_min_ice	dmg_min_thunder	dmg_max_physical	dmg_max_magic	dmg_max_water	dmg_max_air	dmg_max_earth	dmg_max_fire	dmg_max_poison	dmg_max_ice	dmg_max_thunder	def_point_physical	def_point_magic	def_point_water	def_point_air	def_point_earth	def_point_fire	def_point_poison	def_point_ice	def_point_thunder	physical_resistance	physical_block	skill_block	dmg_min_heroic	dmg_max_heroic	def_point_heroic	heroic_melee_Resistance	heroic_ranged_Resistance	heroic_magic_Resistance	FACTOR_PERCENT	con	str	int	dex	cha	wis	movement	hp	mp	sp	ap	agro	max_hp	max_mp	max_sp	atk_speed	atk_range	skill_cast	skill_delay	hit_rate	evade_rate	dodge_rate	dmg_min_physical	dmg_min_magic	dmg_min_water	dmg_min_air	dmg_min_earth	dmg_min_fire	dmg_min_poison	dmg_min_ice	dmg_min_thunder	dmg_max_physical	dmg_max_magic	dmg_max_water	dmg_max_air	dmg_max_earth	dmg_max_fire	dmg_max_poison	dmg_max_ice	dmg_max_thunder	def_point_physical	def_point_magic	def_point_water	def_point_air	def_point_earth	def_point_fire	def_point_poison	def_point_ice	def_point_thunder	physical_resistance	physical_block	skill_block	FACTOR_MAGNIFY	movement	atk_speed
일반공격	1	0			1	1	1	1	1	1	1	1	1	1	1	1	1	1	0																																																																																																																																																																																																																																																											
듀얼 슬래시	1	0	1		1			1										4	1														100													10				1450	7450	1450			2	2																																																														80																																																																																																																																																								
	2	0	1		1			1										7	1														110													15				1450	7450	1450			2	2																																																															480																																																																																																																																																							
	3	0	1		1			1										10	1														120													20				1450	7450	1450			2	2																																																															1440																																																																																																																																																							
	4	0	1		1			1										13	1														130													25				1450	7450	1450			2	2																																																															2880																																																																																																																																																							
	5	0	1		1			1										16	1														140													30				1450	7450	1450			2	2																																																															4800																																																																																																																																																							
	6	0	1		1			1										19	1														150													35				1450	7450	1450			2	2																																																																																																																																																																																																																						
	7	0	1		1			1										22	1														160													40				1450	7450	1450			2	2																																																																																																																																																																																																																						
	8	0	1		1			1										25	1														170													45				1450	7450	1450			2	2																																																																																																																																																																																																																						
	9	0	1		1			1										28	1														180													50				1450	7450	1450			2	2																																																																																																																																																																																																																						
	10	0	1		1			1										31	1														190													55				1450	7450	1450			2	2																																																																																																																																																																																																																						
	11	0	1		1			1										34	1														200													60				1450	7450	1450			2	2																																																																																																																																																																																																																						
	12	0	1		1			1										37	1														210													65				1450	7450	1450			2	2																																																																																																																																																																																																																						
	13	0	1		1			1										40	1														220													70				1450	7450	1450			2	2																																																																																																																																																																																																																						
	14	0	1		1			1										43	1														230													75				1450	7450	1450			2	2																																																																																																																																																																																																																						
	15	0	1		1			1										46	1														240													80				1450	7450	1450			2	2																																																																																																																																																																																																																						
	16	0	1		1			1										49	1														250													85				1450	7450	1450			2	2																																																																																																																																																																																																																						
	17	0	1		1			1										52	1														260													90				1450	7450	1450			2	2																																																																																																																																																																																																																						
	18	0	1		1			1										55	1														270													95				1450	7450	1450			2	2																																																																																																																																																																																																																						
	19	0	1		1			1										58	1														280													100				1450	7450	1450			2	2																																																																																																																																																																																																																						
	20	0	1		1			1										61	1														290													105				1450	7450	1450			2	2																																																																																																																																																																																																																						
리니어 블로우	1	0	1		1			1										10	1														90													20				1380	7380	1380						5	3																																																											480																																																																																																																																																								
	2	0	1		1			1										13	1														100													25				1380	7380	1380						5	3																																																												1440																																																																																																																																																							
	3	0	1		1			1										16	1														110													30				1380	7380	1380						6	4																																																												2880																																																																																																																																																							
	4	0	1		1			1										19	1														120													35				1380	7380	1380						6	4																																																												6400																																																																																																																																																							
	5	0	1		1			1										22	1														130													40				1380	7380	1380						7	5																																																												12000																																																																																																																																																							
	6	0	1		1			1										25	1														140													45				1380	7380	1380						7	5																																																																																																																																																																																																																			
	7	0	1		1			1										28	1														150													50				1380	7380	1380						8	6																																																																																																																																																																																																																			
	8	0	1		1			1										31	1														160													55				1380	7380	1380	`					8	6																																																																																																																																																																																																																			
	9	0	1		1			1										34	1														170													60				1380	7380	1380						9	7																																																																																																																																																																																																																			
	10	0	1		1			1										37	1														180													65				1380	7380	1380						9	7																																																																																																																																																																																																																			
	11	0	1		1			1										40	1														190													70				1380	7380	1380						10	7																																																																																																																																																																																																																			
	12	0	1		1			1										43	1														200													75				1380	7380	1380						10	7																																																																																																																																																																																																																			
	13	0	1		1			1										46	1														210													80				1380	7380	1380						11	7																																																																																																																																																																																																																			
	14	0	1		1			1										49	1														220													85				1380	7380	1380						11	7																																																																																																																																																																																																																			
	15	0	1		1			1										52	1														230													90				1380	7380	1380						12	7																																																																																																																																																																																																																			
	16	0	1		1			1										55	1														240													95				1380	7380	1380						13	7																																																																																																																																																																																																																			
	17	0	1		1			1										58	1														250													100				1380	7380	1380						14	7																																																																																																																																																																																																																			
	18	0	1		1			1										61	1														260													105				1380	7380	1380						15	7																																																																																																																																																																																																																			
	19	0	1		1			1										64	1														270													110				1380	7380	1380						16	7																																																																																																																																																																																																																			
	20	0	1		1			1										67	1														280													115				1380	7380	1380						17	7																																																																																																																																																																																																																			
실드 어택	1	0	1	1	1			1										10	1														105													12				1260	7260	1260				2																																									3000				30																	480																																																																																																																																																								
	2	0	1	1	1			1										13	1														115													15				1260	7260	1260				2																																									3000				35																		720																																																																																																																																																							
