slayer	orbiter	scion	summoner
6661	6686	7829	
6671	6696	7831	8276
6676	6722	7832	
6681	6732	7833	
7821	7969	7974	
7823	7971	7976	8548
7824	7972	7977	
7825	7973	7978	
8113	7937	7904	
8115	7939	7906	8285
8116	7940	7907	
8117	7941	7908	
8118	8293	7979	
8120	8295	7981	8549
8121	8296	7983	
8122	8297	7985	
8123	8298	7986	
8125	8300	7988	8550
8126	8301	7989	
8127	8302	7990	
8128	7942	7909	
8130	7944	7911	8277
8131	7945	7912	
8132	7946	7913	
8133	8303	7991	
8135	8305	7993	8551
8136	8306	7994	
8137	8307	7995	
8138	8308	7996	
8140	8310	7998	8552
8141	8311	7999	
8142	8312	8000	
8158	8323	8086	
8143	7947	7914	
8145	7949	7916	8278
8146	7950	7917	
8147	7951	7918	
8159	8324	8087	
8148	8313	8001	
8150	8315	8003	8553
8151	8316	8004	
8152	8317	8005	
8160	8325	8088	
8153	8318	8006	
8155	8320	8008	8554
8156	8321	8009	
8157	8322	8010	
8166	7935	8011	
8161	7952	7919	
8163	7954	7921	8280
8164	7955	7922	
8165	7956	7923	
8172	8336	8012	
8167	8326	8014	
8169	8328	8016	8555
8170	8329	8017	
8171	8330	8018	
8178	8337	8013	
8173	8331	8019	
8175	8333	8021	8556
8176	8334	8022	
8177	8335	8023	
8184	7936	8024	
8179	7957	7924	
8181	7959	7926	8281
8182	7960	7927	
8183	7961	7928	
8190	8343	8030	
8185	8338	8025	
8187	8340	8027	8557
8188	8341	8028	
8189	8342	8029	
8196	8349	8036	
8191	8344	8031	
8193	8346	8033	8558
8194	8347	8034	
8195	8348	8035	
8202	7934	8037	
8197	7962	7929	
8199	7964	7931	8282
8200	7965	7932	
8201	7966	7933	
8214	8361	8049	
8209	8356	8044	
8211	8358	8046	8560
8212	8359	8047	
8213	8360	8048	
8208	8355	8043	
8203	8350	8038	
8205	8352	8040	8559
8206	8353	8041	
8207	8354	8042	
8220	8367	8055	
8215	8362	8050	
8217	8364	8052	8283
8218	8365	8053	
8219	8366	8054	
8226	8368	8056	
8221	8370	8058	
8223	8372	8060	8561
8224	8373	8061	
8225	8374	8062	
8232	8369	8057	
8227	8375	8063	
8229	8377	8065	8562
8230	8378	8066	
8231	8379	8067	
8238	8385	8073	
8233	8380	8068	
8235	8382	8070	8284
8236	8383	8071	
8237	8384	8072	
8244	8386	8074	
8239	8388	8076	
8241	8390	8078	8563
8242	8391	8079	
8243	8392	8080	
8250	8387	8075	
8245	8393	8081	
8247	8395	8083	8564
8248	8396	8084	
8249	8397	8085	
7827		7968	8286
7828		8565	8522
8258		8089	7984
8259		8090	8528
8260		8091	8533
8251		8092	8287
8261		8093	8534
8262		8094	8535
8252		8095	8279
8263		8096	8536
8264		8097	8537
8253		8098	8288
8265		8099	8538
8266		8100	8539
8254		8101	8289
8267		8102	8540
8268		8103	8541
8255		8104	8290
8269		8105	8542
8270		8106	8543
8256		8107	8291
8271		8108	8544
8272		8109	8545
8257		8110	8292
8273		8111	8546
8274		8112	8547
	6691	7830	
	7970	7975	
	7938	7905	
	8294	7980	
	8299	7987	
	7943	7910	
	8304	7992	
	8309	7997	
	7948	7915	
	8314	8002	
	8319	8007	
	7953	7920	
	8327	8015	
	8332	8020	
	7958	7925	
	8339	8026	
	8345	8032	
	7963	7930	
	8351	8039	
	8357	8045	
	8363	8051	
	8371	8059	
	8376	8064	
	8381	8069	
	8389	8077	
	8394	8082	
8566	8614	8613	
8568	8624	8615	8576
8569	8630	8616	
8570	8636	8617	
