name2	skill_level2	damage_a2	damage_magic2	damage_water2	damage_air2	damage_earth2	damage_fire2	damage_poison2	damage_ice2	damage_thunder2	damage_a_PERCENT2	damage_magic_PERCENT2	damage_water_PERCENT2	damage_air_PERCENT2	damage_earth_PERCENT2	damage_fire_PERCENT2	damage_poison_PERCENT2	damage_ice_PERCENT2	damage_thunder_PERCENT2	damage_c_PERCENT2	cost_hp2	cost_mp2	duration2	interval2	dot_dmg_a2	dot_dmg_magic2	dot_dmg_water2	dot_dmg_air2	dot_dmg_earth2	dot_dmg_fire2	dot_dmg_poison2	dot_dmg_ice2	dot_dmg_thunder2	dot_dmg_a_PERCENT2	dot_dmg_magic_PERCENT2	dot_dmg_water_PERCENT2	dot_dmg_air_PERCENT2	dot_dmg_earth_PERCENT2	dot_dmg_fire_PERCENT2	dot_dmg_poison_PERCENT2	dot_dmg_ice_PERCENT2	dot_dmg_thunder_PERCENT2	stun_time2	skill_rate2	aggrodoll_hp2	dot_damage_time2	death2	specific_skill_levelup2	Connection_TID2	Skill_Union2	Skill_Union_Control2	Max_Skill_Union2	bonus_drop_add_rate2	velocity2	ea_damage_physical2	ea_damage_magic2	ea_damage_water2	ea_damage_air2	ea_damage_earth2	ea_damage_fire2	ea_damage_poison2	ea_damage_ice2	ea_damage_thunder2	ea_damage_c2	ea_damage_physical_PERCENT2	ea_damage_magic_PERCENT2	ea_damage_water_PERCENT2	ea_damage_air_PERCENT2	ea_damage_earth_PERCENT2	ea_damage_fire_PERCENT2	ea_damage_poison_PERCENT2	ea_damage_ice_PERCENT2	ea_damage_thunder_PERCENT2	ea_damage_c_PERCENT2	FACTOR_POINT2	con2	str2	int2	dex2	cha2	wis2	movement2	hp2	mp2	sp2	ap2	agro2	max_hp2	max_mp2	max_sp2	atk_speed2	atk_range2	skill_cast2	skill_delay2	hit_rate2	evade_rate2	dodge_rate2	dmg_min_physical2	dmg_min_magic2	dmg_min_water2	dmg_min_air2	dmg_min_earth2	dmg_min_fire2	dmg_min_poison2	dmg_min_ice2	dmg_min_thunder2	dmg_max_physical2	dmg_max_magic2	dmg_max_water2	dmg_max_air2	dmg_max_earth2	dmg_max_fire2	dmg_max_poison2	dmg_max_ice2	dmg_max_thunder2	def_point_physical2	def_point_magic2	def_point_water2	def_point_air2	def_point_earth2	def_point_fire2	def_point_poison2	def_point_ice2	def_point_thunder2	physical_resistance2	physical_block2	skill_block2	FACTOR_PERCENT2	con2	str2	int2	dex2	cha2	wis2	movement2	hp2	mp2	sp2	ap2	agro2	max_hp2	max_mp2	max_sp2	atk_speed2	atk_range2	skill_cast2	skill_delay2	hit_rate2	evade_rate2	dodge_rate2	dmg_min_physical2	dmg_min_magic2	dmg_min_water2	dmg_min_air2	dmg_min_earth2	dmg_min_fire2	dmg_min_poison2	dmg_min_ice2	dmg_min_thunder2	dmg_max_physical2	dmg_max_magic2	dmg_max_water2	dmg_max_air2	dmg_max_earth2	dmg_max_fire2	dmg_max_poison2	dmg_max_ice2	dmg_max_thunder2	def_point_physical2	def_point_magic2	def_point_water2	def_point_air2	def_point_earth2	def_point_fire2	def_point_poison2	def_point_ice2	def_point_thunder2	physical_resistance2	physical_block2	skill_block2	ignore_physical_defence_percent2	ignore_attribute_defence_percent2	critical_defence_percent2	durability_percent2	durability_num2
아크로바틱 차지	1										5																																																																																																																												-2																																																		
	2										10																																																																																																																												-5																																																		
	3										15																																																																																																																												-8																																																		
	4										20																																																																																																																												-11																																																		
	5										25																																																																																																																												-14																																																		
	6										30																																																																																																																												-17																																																		
	7										35																																																																																																																												-20																																																		
	8										40																																																																																																																												-23																																																		
	9										45																																																																																																																												-26																																																		
	10										50																																																																																																																												-26																																																		
	11										55																																																																																																																												-26																																																		
	12										60																																																																																																																												-26																																																		
	13										65																																																																																																																												-26																																																		
	14										70																																																																																																																												-26																																																		
	15										75																																																																																																																												-26																																																		
브레이킹 암즈	1										5																																						670																																																																																															-1																																									
	2										10																																						670																																																																																															-3																																									
	3										15																																						670																																																																																															-5																																									
	4										20																																						670																																																																																															-7																																									
	5										25																																						670																																																																																															-9																																									
	6										30																																						670																																																																																															-11																																									
	7										35																																						670																																																																																															-13																																									
	8										40																																						670																																																																																															-15																																									
	9										45																																						670																																																																																															-17																																									
	10										50																																						670																																																																																															-17																																									
	11										55																																						670																																																																																															-17																																									
	12										60																																						670																																																																																															-17																																									
	13										65																																						670																																																																																															-17																																									
	14										70																																						670																																																																																															-17																																									
	15										75																																						670																																																																																															-17																																									
크로스 스커미쉬	1										7					4																																	671																																												-1																																																																																												
	2										12					6																																	671																																												-3																																																																																												
	3										17					9																																	671																																												-5																																																																																												
	4										22					11																																	671																																												-7																																																																																												
	5										27					14																																	671																																												-9																																																																																												
	6										32					16																																	671																																												-11																																																																																												
	7										37					19																																	671																																												-13																																																																																												
	8										42					21																																	671																																												-15																																																																																												
	9										47					24																																	671																																												-17																																																																																												
	10										52					26																																	671																																												-17																																																																																												
	11										57					29																																	671																																												-17																																																																																												
	12										62					31																																	671																																												-17																																																																																												
	13										67					34																																	671																																												-17																																																																																												
	14										72					36																																	671																																												-17																																																																																												
	15										77					39																																	671																																												-17																																																																																												
프리사이즈 어설트	1										10		5																														3000	30																																																																																																																																													
	2										15		8																														3000	35																																																																																																																																													
	3										20		10																														3000	40																																																																																																																																													
	4										25		13																														3000	45																																																																																																																																													
	5										30		15																														3000	50																																																																																																																																													
	6										35		18																														3000	55																																																																																																																																													
	7										40		20																														3000	60																																																																																																																																													
	8										45		23																														3000	65																																																																																																																																													
	9										50		25																														3000	70																																																																																																																																													
	10										55		28																														3000	75																																																																																																																																													
	11										60		30																														3000	80																																																																																																																																													
	12										65		33																														3000	85																																																																																																																																													
	13										70		35																														3000	90																																																																																																																																													
	14										75		38																														3000	95																																																																																																																																													
	15										80		40																														3000	100																																																																																																																																													
블루 다이어	1										10		5																																																																																-1																																																																																												
	2										15		8																																																																																-3																																																																																												
	3										20		10																																																																																-5																																																																																												
	4										25		13																																																																																-7																																																																																												
	5										30		15																																																																																-9																																																																																												
	6										35		18																																																																																-11																																																																																												
	7										40		20																																																																																-13																																																																																												
	8										45		23																																																																																-15																																																																																												
	9										50		25																																																																																-17																																																																																												
	10										55		28																																																																																-17																																																																																												
	11										60		30																																																																																-17																																																																																												
	12										65		33																																																																																-17																																																																																												
	13										70		35																																																																																-17																																																																																												
	14										75		38																																																																																-17																																																																																												
	15										80		40																																																																																-17																																																																																												
리사이트 오브 브리즈	1										10														5																								673																																																																																																																																								
	2										15														8																								673																																																																																																																																								
	3										20														10																								673																																																																																																																																								
	4										25														13																								673																																																																																																																																								
	5										30														15																								673																																																																																																																																								
	6										35														18																								673																																																																																																																																								
	7										40														20																								673																																																																																																																																								
	8										45														23																								673																																																																																																																																								
	9										50														25																								673																																																																																																																																								
	10										55														28																								673																																																																																																																																								
	11										60														30																								673																																																																																																																																								
	12										65														33																								673																																																																																																																																								
	13										70														35																								673																																																																																																																																								
	14										75														38																								673																																																																																																																																								
	15										80														40																								673																																																																																																																																								
인사이트풀 엑스	1										10																																						674																																																																														-2																																																										
	2										15																																						674																																																																														-5																																																										
	3										20																																						674																																																																														-8																																																										
	4										25																																						674																																																																														-11																																																										
	5										30																																						674																																																																														-14																																																										
	6										35																																						674																																																																														-17																																																										
