스킬명	attribute	upgradable	check_range	target	range	requirement	condition	other_condition	arg1	arg2	arg3	arg4	arg_string	melee_attack	magic_attack	count	special_status	special_status_arg	move_pos	update_factor	reflect_melee_attack	reflect_magic_attack	reflect_heroic_attack	defense_melee_attack	defense_magic_attack	magic_resist_level_up	dispel_magic	transform_target	life_protection	dot	infect_around	add_spellcount	dmg_adjust	skill_factor_adjust	update_combat_point	regen_hp	convert_type	charge	skill_levelup	product	twice_packet	auto_attack	dynamic_target	action_on_action	at_field	summons	action_passive	duration_type	limited_max_level	release_target	visible_effect_type	game_bonus	item_use_type	cash	level_diff_type	detect	ride	game_effect	force	divide	resurrection	skill_union	target_restriction	disturb
퀵커	10	1	2	100	1	1														116																					2																							
듀얼 슬래시	1	1	1	1	202	1								101																																																		
트리플 슬래시	1	1	1	1	202	1								101																																																		
리니어 블로우	1	1	1	1	1404	1								101																											2																							
데스 모멘트	1	1	1	1	202	1								101																											2																							
리썰 어택	10	1	2	100	1	1															4														2						2																							
빅 휠	1	1	1	101	304	1								101																																																		
실드 어택	1	1	1	1	202	3	1000							101			1																								2																							
후크	1	1	1	1	304	1								108																											2																							
블레이드 스팅	1	1	1	1	202	5								101																											2																							
스턴 스매셔	1	1	1	1	202	7	1000							101			1																								2																							
스윙 암즈	1	1	1	1	1404	8								101																											2																							
브리드 액스	11	1	1	1	202	6								101																10001											2																							
드래곤 디바이드	1	1	1	1	1404	1								101																																																		
샤우팅	10	1	2	100	1	1														10																					2																							
프로보크	20	1		1	202	1														10																					2																							
네가티브	10	1	2	100	1	1														10																					2																							
존 프로보크	20	1		1	1304	1														10																					2																							
굿 블레이드	10	1	2	100	1	5			1											107																					2																							
굿 액스	10	1	2	100	1	6			2											107																					2																							
굿 블런트	10	1	2	100	1	7			3											107																					2																							
굿 암즈	10	1	2	100	1	8			4											107																					2																							
페이스 디펜더	10	1	2	100	1	3			5											107																					2																							
컴뱃 에코	10	1	2	100	303	1														10																					2																							
위크 엔드	10	1	1	1	202	1																													3						2																							
스피리트 실드	10	1	2	100	1	3			9											107																					2																							
스턴 프로텍트	10	1	2	100	1	3											8																								2																							
파워레스 쇼	10	1	1	1	202	1														10																					2																							
트윈 핸드	10	1	2	100	1	1																																			2																							
세크리파이스	10	1	1	100	1	1														10																					2																							
이모탈 콜링	10	1	2	100	1	1														10																					2																							
블러드 페인트	10	1	2	100	1	1	1000							106																											2																							
샤프 어태커	10	1	2	100	1	1														10																					2																							
스프린트	10	1	2	100	1	1														116																					2																							
버서크	10	1	2	100	1	1														116																					2																							
네츄럴 워리어	10	1	2	100	1	1														10				4																	2																							
브레이크 바디	10	1	1	1	1304	1														10																					2																							
페닉	10	1	1	1	1202	1														10																					2																							
바이탈 차지	10	1	2	100	1	1	1000																														1				2																							
홀드 디펜스	9	1	2	111	1															10																																												
대미지 맥시마	9	1	2	111	1		1000		5	150				106																																																		
레드 히트	9	1	2	111	1															10																																												
카운터 어택	9	1	2	111	1		1000		2															2																																								
헤비 카운터 어택	9	1	2	111	1				5															2																																								
마이티 카운터 어택	9	1	2	111	1				10															2																																								
데스 스트라이크	9	1	2	111	1		1000		2					107																																																		
헬 스트라이크	9	1	2	111	1				5					107																																																		
헬스 번	9	1	2	111	1															10																																												
스피리트 스냅	9	1	2	111	1															10																																												
듀얼샷	1	1	1	1	202	1								101																											1																							
트리플샷	1	1	1	1	202	1								101																											1																							
피어스샷	1	1	1	1	1404	1								101																											1																							
멀티플 애로우	1	1	1	1	1304	1								101																											1																							
트랜스폼	10	1		100	1	1			96											10								1																																				
체인 액션	21	1	1	1	202	1								101			3			10																					1																							
스틸바스터	1	1	1	1	1304	1								101																											1																							
마나체이서	1	1	1	1	202	1	1000							101			1																								1																							
블링크샷	11	1	1	1	202	1								101						10																					1																							
파이어샷	11	1	1	1	202	1								101																10002											1																							
파워샷	1	1	1	1	202	1								101																											1																							
